run_id,sweep_value,seed,duration_ms,Whale Influence,Whale Proposal Rate,Governance Capture Risk,Single Entity Control,Collusion Threshold,Delegate Concentration,Voter Concentration Gini,Voting Power Utilization,Proposal Pass Rate,Quorum Reach Rate,Avg Time to Decision
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0-run-038,vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0,1041,10646,0.39819116895550466,0.3953488372093023,0.3816417239281444,0.026295849306998565,0.16842105263157894,0.36807820334214214,0.21329098911525182,0.37218960728575995,0.9036144578313253,1,962.0481927710844
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0_3-run-038,vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0.3,1141,9772,0.40141218406255474,0.45,0.3925133657378129,0.027663318266947696,0.1,0.37871441580615,0.21196549429082642,0.3556933175875487,0.7721518987341772,1,957.7721518987341
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0_6-run-038,vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0.6,1241,10758,0.3652941678085493,0.36,0.37255490571618194,0.020032057685349713,0.28421052631578947,0.3542632103730389,0.20829725775593652,0.419600732566261,0.826530612244898,1,1099.5
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0-run-038,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0,1341,8195,0.47848629718768865,0.639344262295082,0.4506468308463388,0.028259950852749703,0.1736842105263158,0.44292076614148096,0.23185847393603626,0.424904899488523,0.8833333333333333,1,1019.8666666666667
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0_3-run-038,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0.3,1441,9920,0.3850646744539841,0.4891304347826087,0.39158797611708807,0.02327871490182699,0.2894736842105263,0.3727800402336465,0.22153804873685837,0.43514637668760614,0.8777777777777778,1,995.7666666666667
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0_6-run-038,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0.6,1541,7890,0.286134284663985,0.48863636363636365,0.2900958863346443,0.019982481893803455,0.3631578947368421,0.27367620482880056,0.22268662418170138,0.423812558503349,0.8795180722891566,1,1099.012048192771
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0-run-038,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0,1641,8739,0.2576710851968681,0.45263157894736844,0.2657074989642308,0.026379222680841224,0.20526315789473684,0.25424670020212187,0.2165421609878617,0.31015143096972236,0.8695652173913043,1,1002.5217391304348
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0_3-run-038,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0.3,1741,6248,0.2610682725056557,0.5222222222222223,0.24116406354144995,0.026963875414436848,0.1,0.24507843153978212,0.21134224221193906,0.3013523333098085,0.8333333333333334,1,974.4
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0_6-run-038,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0.6,1841,6001,0.2652359473537506,0.45161290322580644,0.24924728086962472,0.0248644707860808,0.15263157894736842,0.2459109755979048,0.21593915843904504,0.31503569856330654,0.8333333333333334,1,946.3
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0-run-038,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0,1941,7955,0.4045987383897018,0.45348837209302323,0.39552127473142945,0.022929731220221763,0.19473684210526315,0.37155459166197913,0.21748687664041993,0.39566425317133835,0.9166666666666666,1,962.2738095238095
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0_3-run-038,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0.3,2041,4952,0.4140608967992732,0.4567901234567901,0.39143416035845924,0.021896061750775738,0.25263157894736843,0.37756132881266136,0.2191128905200137,0.4245195037249026,0.8888888888888888,1,1078.1851851851852
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0_6-run-038,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0.6,2141,10300,0.4023838575390401,0.5,0.38576297912277324,0.02625375100851938,0.1736842105263158,0.37608135078127514,0.22281709298371558,0.3876544595772182,0.84,1,1037.7333333333333
Governance Capture Mitigations-vote_power_cap_fraction=0_2_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0-run-038,vote_power_cap_fraction=0.2_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0,2241,5609,0.15263995671573868,0.16494845360824742,0.17138984316832487,0.00675916785754282,0.39473684210526316,0.15832982467243206,0.23598953148582255,0.43184356654046413,0.8736842105263158,1,1060.0947368421052
Governance Capture Mitigations-vote_power_cap_fraction=0_2_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0_3-run-038,vote_power_cap_fraction=0.2_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0.3,2341,5801,0.3728320729044701,0.39325842696629215,0.36179636631917844,0.01959963753816778,0.29473684210526313,0.34570985970102774,0.2145781187264542,0.4270401469438195,0.8522727272727273,1,1036.5568181818182
