run_id,sweep_value,seed,duration_ms,Whale Influence,Whale Proposal Rate,Single Entity Control,Avg Time to Decision,Proposal Abandonment Rate,Voter Concentration Gini,Delegate Concentration,Governance Capture Risk,Voter Participation Rate,Average Turnout,Voter Retention Rate,Proposal Pass Rate,Avg Margin of Victory,Quorum Reach Rate,Final Treasury,Treasury Growth Rate
Conviction Voting Dynamics-24-run-006,24,47,6323,0.44738421828734787,0.06,0.03215434083601286,22.895833333333332,0.04,0.31517472664854246,0.48118021152991736,0.4903995806012338,0.38881987577639765,0.32342770113401925,1,0.7291666666666666,0.3616546296193109,1,10690.66662298241,-0.786277585055669
Conviction Voting Dynamics-24-run-001,24,42,6996,0.4125830856290276,0.12962962962962962,0.03215951117543013,22.433962264150942,0.018518518518518517,0.3152109405238034,0.4732565541039346,0.488417625400472,0.3876236484932137,0.32215064642968716,1,0.5660377358490566,0.4107061776851903,1,25328.923244103604,-0.49363694196281693
Conviction Voting Dynamics-24-run-004,24,45,7408,0.47081888055516014,0.21568627450980393,0.03215434083601286,19.897959183673468,0.0392156862745098,0.3051186415009349,0.47694384196538125,0.49706331444407026,0.3895993179880648,0.3450187492299662,1,0.7142857142857143,0.399431824776942,1,5432.45762854664,-0.8913970471252202
Conviction Voting Dynamics-24-run-009,24,50,7680,0.43884454589954497,0.10714285714285714,0.03215434083601286,22.70909090909091,0.017857142857142856,0.30684144256944496,0.4860058871429032,0.49350010799157246,0.3917480035492456,0.3343462753274077,1,0.8,0.351269652948648,1,7478.621078128455,-0.8338790883218622
Conviction Voting Dynamics-24-run-008,24,49,7739,0.4596980154482565,0.07246376811594203,0.03215434083601286,22.241935483870968,0.10144927536231885,0.3061955019861417,0.4720078832297034,0.4934955366921663,0.38158250067512833,0.3386377642827913,1,0.6935483870967742,0.34517978784472364,1,9590.989487247696,-0.7869575285507391
Conviction Voting Dynamics-24-run-005,24,46,8490,0.43038810148143797,0.0967741935483871,0.03215434083601286,21.90909090909091,0.11290322580645161,0.3129306371749053,0.4816476428785405,0.49567235537501486,0.37938288920056096,0.31549036648874274,1,0.6,0.37943178447041453,1,6150.381780301532,-0.8633829662128056
Conviction Voting Dynamics-24-run-002,24,43,8532,0.4455448468083239,0.18333333333333332,0.03215951117543013,20.32758620689655,0.03333333333333333,0.3051223577606581,0.48127440294907387,0.5086548577857062,0.38768115942029,0.3329941568514812,0.9936708860759493,0.7068965517241379,0.4093517330782863,1,9951.23975362773,-0.8010598340740304
Conviction Voting Dynamics-24-run-003,24,44,8805,0.43941629914931324,0.12698412698412698,0.03215434083601286,22.166666666666668,0.047619047619047616,0.31267093525547635,0.4846590994027565,0.5259007912400583,0.38331854480922795,0.3264557965849726,1,0.6666666666666666,0.3743795147719035,1,8453.858415611063,-0.8309947265311123
Conviction Voting Dynamics-24-run-010,24,51,10431,0.4245483581019372,0.0945945945945946,0.03215434083601286,21.565217391304348,0.06756756756756757,0.31163945611727384,0.4494470250781932,0.458201603096002,0.3705724357898271,0.30163655712473514,1,0.6666666666666666,0.3851733524996133,0.972972972972973,26296.70307419714,-0.4742895757305414
Conviction Voting Dynamics-24-run-007,24,48,11517,0.4548467541032453,0.225,0.03215847697453049,19.96153846153846,0.025,0.30294948426611207,0.4673263144604437,0.4833014363559858,0.37934782608695644,0.31912377359184324,1,0.6923076923076923,0.40925865840017156,1,13128.504237448782,-0.7083795167436043
