run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Average Turnout,Quorum Reach Rate,Proposal Rejection Rate,Final Gini,Final Treasury,Whale Influence,Governance Capture Risk,Voter Participation Rate,Unique Voter Count,Delegate Concentration,Single Entity Control,Collusion Threshold,Treasury Growth Rate
Realistic Baseline-run-001,,42,6887,0,0.017509673994979852,0.1124031007751938,1,0.6951333502286468,12068.810396554898,0.01755461928269691,0.30812897425052727,0.030306386120339583,173,0.3295572527083614,0.03275881772194545,0.09523809523809523,-0.7194410629920366
Realistic Baseline-run-002,,43,6980,0,0.01593644437617012,0.11372549019607843,1,0.694726613032157,11578.783798549588,0.015107538728136836,0.3530335651899019,0.027637721755368782,182,0.39325963971996813,0.03133375549642142,0.09047619047619047,-0.7124977990482585
Realistic Baseline-run-003,,44,7394,0,0.01891997429788482,0.12110726643598616,1,0.7019051294107843,12080.243378381903,0.022087432745281205,0.27538387574457907,0.03417366946778709,171,0.3006802063272242,0.03070032071788535,0.09047619047619047,-0.6959113034899318
Realistic Baseline-run-004,,45,7263,0,0.01859480852266548,0.1048951048951049,1,0.7029347037634974,11816.645348357017,0.020870535957387883,0.2805899914897921,0.03529803529803528,174,0.30031134736127696,0.02886099462289607,0.09047619047619047,-0.7048394172901333
Realistic Baseline-run-005,,46,6780,0,0.016763047513073566,0.09541984732824428,1,0.6996378564763523,12074.474610677906,0.0171778818746476,0.3396026982966089,0.029916394038531413,181,0.3640512345653742,0.032731004550835496,0.09047619047619047,-0.7194822906979245
Realistic Baseline-run-006,,47,6444,0,0.02490844098202832,0.14537444933920704,1,0.6948730893875943,12071.690252651897,0.030846894544259037,0.2572462186700027,0.04522760646108662,178,0.23914835470855228,0.03202002875791443,0.09047619047619047,-0.7193394334320191
Realistic Baseline-run-007,,48,6834,0,0.017590591733229882,0.10320284697508897,1,0.6979634260145682,12070.93066427502,0.019856402152112464,0.30736485161540505,0.031621759023894226,179,0.31978663544464603,0.03045346106938573,0.09047619047619047,-0.6884224930845982
Realistic Baseline-run-008,,49,6680,0,0.017571471030000105,0.10317460317460317,1,0.6970668429860167,12072.35880770248,0.016905381685328586,0.30442756391046644,0.031141345427059687,181,0.34143424349790025,0.0307746280755323,0.09047619047619047,-0.7192241596412485
Realistic Baseline-run-009,,50,6514,0,0.018806105522998842,0.12195121951219512,1,0.695865880685991,11828.944754372023,0.02112708672662626,0.2963123479775215,0.03407997345279574,176,0.3107038524401352,0.031565904995457354,0.09047619047619047,-0.6946543749373402
Realistic Baseline-run-010,,51,6411,0,0.017457110055904987,0.10108303249097472,1,0.701515422261094,11525.555230932758,0.01760353811046227,0.2960972083695107,0.03080625752105894,173,0.3352494260569272,0.029649339262392223,0.09047619047619047,-0.719469774485393
Realistic Baseline-run-011,,52,6518,0,0.022371972626195745,0.15384615384615385,1,0.690315113090775,12073.118324471154,0.024386230156012052,0.2812843498166779,0.03902930402930401,177,0.29476953491410846,0.033314346762374804,0.09523809523809523,-0.7194939719556565
