run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Proposal Rejection Rate,Governance Capture Risk,Single Entity Control,Avg Time to Decision,Proposal Abandonment Rate,Whale Influence,Delegate Concentration,Collusion Threshold,Avg Margin of Victory,Voter Participation Rate,Average Turnout,Quorum Reach Rate,Total Proposals,Governance Overhead,Final Treasury
Bicameral Attack Resistance-0_5-run-004,0.5,45,1261,0.7361111111111112,0.2638888888888889,0.5209607077102487,0.025,18.875,0.05263157894736842,0.43286325974499473,0.49115713760030755,0.1,0.3948619333367914,0.3510651629072682,0.2940156696946098,1,76,77.81944444444444,15495.970481089638
Bicameral Attack Resistance-0_5-run-005,0.5,46,1330,0.7701149425287356,0.22988505747126436,0.5221241183167966,0.025,18.28735632183908,0.02247191011235955,0.4412809474998247,0.49585676566339293,0.1,0.3104463084890832,0.36891385767790247,0.3319642948761845,1,89,79.25287356321839,14282.134263379594
Bicameral Attack Resistance-0_5-run-001,0.5,42,1389,0.7244897959183674,0.2755102040816326,0.5193021804921217,0.025,17.755102040816325,0.0392156862745098,0.4365769225596897,0.4885519642968809,0.1,0.35228645623231736,0.36162464985994386,0.31455501526721913,1,102,79.04081632653062,5622.852547504076
Bicameral Attack Resistance-0_5-run-009,0.5,50,1301,0.7088607594936709,0.2911392405063291,0.5124862172072772,0.025,18.936708860759495,0.036585365853658534,0.43668778894468147,0.4799201680424205,0.1,0.3305474377157458,0.3512195121951218,0.3011171539454406,1,82,76.55696202531645,14727.446099067181
Bicameral Attack Resistance-0_5-run-007,0.5,48,1356,0.7444444444444445,0.25555555555555554,0.5229640840254882,0.025,17.788888888888888,0.021739130434782608,0.44782522069680175,0.5025207952853338,0.1,0.3452711235382132,0.3596790890269149,0.31525842219827827,1,92,77.21111111111111,12425.53940370983
Bicameral Attack Resistance-0_5-run-003,0.5,44,1429,0.7976190476190477,0.20238095238095238,0.5240327927264365,0.025006251562890724,16.428571428571427,0.023255813953488372,0.4568674872640944,0.5119850448562878,0.09523809523809523,0.36802563088184104,0.3645071982281283,0.32826207292668447,1,86,78.36904761904762,6362.274187201139
Bicameral Attack Resistance-0_5-run-008,0.5,49,1374,0.7912087912087912,0.2087912087912088,0.5084799435563645,0.025,18.186813186813186,0.052083333333333336,0.45130669461240785,0.4937635402413937,0.1,0.39172861917413654,0.3665674603174602,0.32488560534105315,1,96,81.20879120879121,5626.3690363418655
Bicameral Attack Resistance-0_5-run-006,0.5,47,1449,0.6288659793814433,0.3711340206185567,0.5057684470289581,0.025,18.38144329896907,0.039603960396039604,0.44303605844073646,0.49019858803338423,0.1,0.2992225523516492,0.3615747289014614,0.3216518186217104,1,101,79.0618556701031,4659.754638562489
Bicameral Attack Resistance-0_5-run-002,0.5,43,1540,0.7606837606837606,0.23931623931623933,0.5133836793120103,0.025,18.581196581196583,0.03305785123966942,0.4571521770211397,0.48813256676715766,0.1,0.33942579666584194,0.35859897678079483,0.3098331881913337,1,121,77.88034188034187,15755.352137748607
Bicameral Attack Resistance-0_5-run-010,0.5,51,1490,0.7222222222222222,0.2777777777777778,0.5256684483864507,0.025,18.12037037037037,0.02702702702702703,0.4558660497649391,0.49632013906977657,0.1,0.3290989552316658,0.35508365508365497,0.312207671535106,0.990990990990991,111,76.63888888888889,15015.870676651126
Bicameral Attack Resistance-0_5-run-015,0.5,56,1093,0.7474747474747475,0.25252525252525254,0.5051523555607407,0.025,17.636363636363637,0.01,0.44154423435049445,0.4986540853890063,0.1,0.3330767122612362,0.3608571428571426,0.31234076800653804,1,100,76.54545454545455,6719.741141428815
