run_id,sweep_value,seed,duration_ms,ecosystem.Inter-DAO Proposal Count,ecosystem.Inter-DAO Proposal Success Rate,ecosystem.Collaboration Proposal Rate,ecosystem.Treaty Proposal Rate,ecosystem.Resource Sharing Rate,ecosystem.Joint Venture Rate,ecosystem.Inter-DAO Voting Participation,ecosystem.Cross-DAO Approval Alignment,ecosystem.Total Shared Budget,ecosystem.Resource Flow Volume,ecosystem.Ecosystem Treasury Total,dao-1.Proposal Pass Rate,dao-2.Proposal Pass Rate,dao-3.Proposal Pass Rate,dao-1.Voter Participation Rate,dao-2.Voter Participation Rate,dao-3.Voter Participation Rate,dao-1.Final Treasury,dao-2.Final Treasury,dao-3.Final Treasury,dao-1.Treasury Growth Rate,dao-2.Treasury Growth Rate,dao-3.Treasury Growth Rate
Inter-DAO Cooperation-homogeneous-governance-run-001,homogeneous-governance,707,662,49,0.1836734693877551,0.24489795918367346,0.2653061224489796,0.1836734693877551,0.30612244897959184,92.01740133680029,0.5510204081632653,131016.55987091362,21468.928119866177,22140.364479063188,0,0,0,0.06927710843373495,0.04979919678714861,0.12869508521892448,0,11990.773790149233,10149.590688913955,-0.23751276887416278,-0.1495534111997618,-0.16357644737057675
Inter-DAO Cooperation-homogeneous-governance-run-002,homogeneous-governance,708,423,44,0.1590909090909091,0.36363636363636365,0.25,0.1590909090909091,0.22727272727272727,90.04111564084207,0.4318181818181818,77484.10667292774,18747.33834527433,23974.927378190725,0,0,0,0.08111826463281063,0.09122203098106711,0.20615796519410978,0,12000,11974.927378190725,-0.23840633750453474,-0.1492148154332696,-0.1497770700733925
Inter-DAO Cooperation-homogeneous-governance-run-003,homogeneous-governance,709,411,47,0.2765957446808511,0.3191489361702128,0.2765957446808511,0.2127659574468085,0.19148936170212766,91.25722775312887,0.574468085106383,202585.75653657317,41976.91353387199,34118.712550786615,0.06666666666666667,0,0,0.07309236947791163,0.12048192771084336,0.13567073170731708,12000.000000009617,10125.871299943045,11992.841250833957,-0.1482133292904976,-0.16343630655156388,-0.15123295617756177
Inter-DAO Cooperation-homogeneous-governance-run-004,homogeneous-governance,710,403,42,0.19047619047619047,0.30952380952380953,0.19047619047619047,0.2857142857142857,0.21428571428571427,90.72770893789578,0.6190476190476191,138371.31346575916,25504.11583040841,22013.682742407764,0,0.058823529411764705,0.25,0.16750790824704848,0.14386959603118354,0.13654618473895583,0,10053.597607615455,11960.085134792309,-0.23766584860650353,-0.1631056974062878,-0.15095684206678606
Inter-DAO Cooperation-homogeneous-governance-run-005,homogeneous-governance,711,443,42,0.21428571428571427,0.09523809523809523,0.3333333333333333,0.23809523809523808,0.3333333333333333,86.94158064234163,0.6428571428571429,96679.39462698996,29446.101129287854,22085.14420979745,0.058823529411764705,0.058823529411764705,0.10526315789473684,0.08500669344042838,0.1389950044078754,0.10779961953075458,10085.350449044581,0,11999.793760752867,-0.16338583607657353,-0.2371735062630801,-0.14940370470922382
Inter-DAO Cooperation-homogeneous-governance-run-006,homogeneous-governance,712,402,54,0.2962962962962963,0.24074074074074073,0.2962962962962963,0.24074074074074073,0.2222222222222222,86.94264413717718,0.5740740740740741,198283.64635817707,60972.72443235852,20330.888039517144,0.0625,0,0,0.09071580439404678,0.06110154905335628,0.13855421686746985,10242.610439517151,10088.277599999992,0,-0.16197411733369135,-0.1640430458837581,-0.23728368020034735
Inter-DAO Cooperation-homogeneous-governance-run-007,homogeneous-governance,713,448,55,0.34545454545454546,0.2909090909090909,0.12727272727272726,0.32727272727272727,0.2545454545454545,87.1240248184345,0.6545454545454545,407678.5970106721,28025.861100759357,21999.905548392708,0,0,0.041666666666666664,0.10263003232441964,0.06911857958148383,0.0968875502008032,9999.905548392699,0,12000.000000000011,-0.164755435431396,-0.23782714303903005,-0.1487818590229952
Inter-DAO Cooperation-homogeneous-governance-run-008,homogeneous-governance,714,395,49,0.16326530612244897,0.12244897959183673,0.22448979591836735,0.3469387755102041,0.30612244897959184,87.88523588062912,0.3673469387755102,35906.630577519536,49638.79314949736,22083.29428475318,0.06666666666666667,0.11764705882352941,0,0.14618473895582335,0.11780455153949128,0.15152316583406797,11999.8034703125,0,10083.49081444068,-0.14843789710314012,-0.23754997271417952,-0.16441478311147395
Inter-DAO Cooperation-homogeneous-governance-run-009,homogeneous-governance,715,415,58,0.27586206896551724,0.25862068965517243,0.27586206896551724,0.29310344827586204,0.1724137931034483,84.37925316066466,0.6206896551724138,250837.56529726088,49500.90637546964,20295.036712908266,0.17647058823529413,0,0,0.12402551381998585,0.058918601234205115,0.07038681039949271,0,10082.000799997588,10213.035912910676,-0.2380704756586503,-0.1636105035948493,-0.16196831345261756
Inter-DAO Cooperation-homogeneous-governance-run-010,homogeneous-governance,716,473,51,0.19607843137254902,0.29411764705882354,0.2549019607843137,0.27450980392156865,0.17647058823529413,85.32930996565621,0.5294117647058824,167348.20808283985,20575.11905557476,34223.248351449554,0,0.034482758620689655,0.17647058823529413,0.007795889440113396,0.05783132530120483,0.028781793842034806,12000.002232803467,10226.973531708458,11996.27258693763,-0.14961954806205754,-0.1619036350425587,-0.14882298241130257
