run_id,sweep_value,seed,duration_ms,Treasury Volatility,Treasury Growth Rate,Final Treasury,Treasury Trend,Final Token Price,Proposal Pass Rate,Quorum Reach Rate
Treasury Resilience-treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0_1-run-016,treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.1,621,3069,0.1763737029698098,-0.7493701155074959,10030.747310290288,-0.7177786581079726,1.1312469704720791,0.061611374407582936,0.3087557603686636
Treasury Resilience-treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0_1-run-017,treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.1,622,3004,0.17645686876487088,-0.7292065539312447,10024.7562373323,-0.7468745382536022,0.9998738221389951,0.07035175879396985,0.3613861386138614
Treasury Resilience-treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0_1-run-018,treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.1,623,2968,0.1762647807255533,-0.7291359993936184,10029.805937855908,-0.7297097868168084,3.051901387110037,0.09278350515463918,0.37055837563451777
Treasury Resilience-treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0_1-run-019,treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.1,624,3282,0.1827622813661543,-0.749146136696078,10039.711424305427,-0.7515117613946736,1.3009700118291787,0.07035175879396985,0.3235294117647059
Treasury Resilience-treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0_1-run-020,treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.1,625,3160,0.17157938185064173,-0.7290719987878418,10029.737460226264,-0.7084406209277454,2.7153162432385116,0.12121212121212122,0.3316831683168317
Treasury Resilience-treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0_1-run-021,treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.1,626,3206,0.17765957225447734,-0.7290727384911483,10029.710076456668,-0.7479018023299328,2.2945612373845714,0.11737089201877934,0.3271889400921659
Treasury Resilience-treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0_1-run-022,treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.1,627,3065,0.17475635079395985,-0.7291423711182807,10027.13228100666,-0.7324938157181609,1.1995508292486865,0.12935323383084577,0.4117647058823529
Treasury Resilience-treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0_1-run-023,treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.1,628,3154,0.17934984706054072,-0.7492671681228328,10034.86748615799,-0.7388018556859189,20.572060646271424,0.04864864864864865,0.3368421052631579
Treasury Resilience-treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0_1-run-024,treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.1,629,3018,0.18644493987557115,-0.7493561912641981,10031.304588470783,-0.784204251670994,1.2209902038817164,0.0663265306122449,0.30198019801980197
Treasury Resilience-treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0_2-run-001,treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.2,631,3074,0.16003759150845054,-0.7215613881692069,10029.341178216913,-0.6660006237199314,2.976181455521777,0.03015075376884422,0.28078817733990147
Treasury Resilience-treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0_1-run-025,treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.1,630,3128,0.1859501641005866,-0.7494121605639182,10029.064576655099,-0.7776753528517902,3.338101266642384,0.06796116504854369,0.3397129186602871
Treasury Resilience-treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0_2-run-002,treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.2,632,3070,0.1684621595280252,-0.749371029991181,10030.710710685322,-0.6979501862227335,1.7833834875725714,0.06914893617021277,0.32989690721649484
Treasury Resilience-treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0_2-run-003,treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.2,633,3191,0.16595144153042865,-0.7493118609929589,10033.078781320517,-0.6847780557093381,2.064584751526992,0.0779816513761468,0.27876106194690264
Treasury Resilience-treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0_2-run-004,treasury_stabilization_enabled=true_treasury_buffer_fraction=0_treasury_max_spend_fraction=0.2,634,2962,0.1866981965989823,-0.7493957411560465,10029.721716691209,-0.7844914673723418,2.907013605082532,0.10614525139664804,0.34972677595628415
