# Pairwise T-Test Comparisons
sweep_value_1,sweep_value_2,metric,t_statistic,df,p_value,significant,cohens_d,effect_interpretation
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Wealth Mobility,0.114488,196.578489,0.908967,false,0.016191,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Whale Influence,-1.146441,181.518397,0.253122,false,-0.162131,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Whale Proposal Rate,-1.860914,194.637278,0.064264,false,-0.263173,small
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Governance Capture Risk,-0.033712,182.782730,0.973144,false,-0.004768,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Vote Buying Vulnerability,-0.496384,196.954777,0.620177,false,-0.070199,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Single Entity Control,-0.255085,193.018009,0.798929,false,-0.036074,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Collusion Threshold,0.076587,196.890127,0.939030,false,0.010831,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Participation Trend,0.000252,195.974261,0.999799,false,0.000036,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Treasury Trend,0.840452,192.914478,0.401695,false,0.118858,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Member Growth Rate,0,198,1,false,0,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Proposal Rate,-0.504141,194.249508,0.614734,false,-0.071296,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Governance Activity Index,0.009299,184.909856,0.992590,false,0.001315,negligible
treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0,treasury_stabilization_enabled=true_participation_target_rate=0_proposal_bond_fraction=0.01,Final Gini,-0.109507,196.523009,0.912912,false,-0.015487,negligible
