run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Average Turnout,Quorum Reach Rate,Proposal Rejection Rate,Final Gini,Final Treasury,Whale Influence,Governance Capture Risk,Voter Participation Rate,Unique Voter Count,Delegate Concentration,Single Entity Control,Collusion Threshold,Treasury Growth Rate
Realistic Baseline-run-001,,42,4793,0.8275862068965517,0.010531871583595205,1,0.1724137931034483,0.8331375764810132,10310.012391265791,0.7216798692847861,0.7187850943384253,0.023541107528832875,112,0.7465394992979727,0.27421641078657943,0.2271604938271605,-0.7602312419552624
Realistic Baseline-run-002,,43,5219,0.9545454545454546,0.007606028241095175,1,0.045454545454545456,0.8390514544504091,10293.119870023931,0.5698853145926982,0.6365384533299446,0.0203050170476419,105,0.624473736213901,0.3014550386036738,0.2419753086419753,-0.76088583988058
Realistic Baseline-run-003,,44,5140,0.7575757575757576,0.00866250873323151,1,0.24242424242424243,0.8197044655668722,10292.252610789437,0.6994289821402473,0.689771698837409,0.02120341904476624,122,0.6976093431947864,0.25666163746075765,0.2419753086419753,-0.7608791519616398
Realistic Baseline-run-004,,45,5269,0.896551724137931,0.007545681151510829,1,0.10344827586206896,0.8374583236079205,10286.776826998424,0.6520160509172219,0.7230286881641658,0.018790812973309444,97,0.712409879751921,0.25909823036745533,0.19753086419753085,-0.761145725642361
Realistic Baseline-run-005,,46,4693,0.8571428571428571,0.009177554958464921,1,0.14285714285714285,0.8241101222234826,10293.68975978664,0.6727828465288681,0.6594606028523203,0.023878022465799214,132,0.6725948028990997,0.27437265804495287,0.21975308641975308,-0.7609968971704169
Realistic Baseline-run-006,,47,5315,0.75,0.009756174774608358,1,0.25,0.8497881706094588,10285.994938813257,0.6357775533936947,0.7432776593232681,0.02208391352648644,128,0.7372014765102582,0.2874192160857888,0.2271604938271605,-0.7608600307774632
Realistic Baseline-run-007,,48,5005,0.9230769230769231,0.009866555586052364,1,0.07692307692307693,0.842430249767113,10306.396891355742,0.7756109343547046,0.7160022222491036,0.022890053735728215,93,0.7386741858219054,0.27192802234066743,0.21481481481481482,-0.7605691817434108
Realistic Baseline-run-008,,49,4627,0.8571428571428571,0.008440721884886877,1,0.14285714285714285,0.8230238365376745,10298.519559988166,0.697942491473274,0.7959778856460588,0.01992822803745561,100,0.7648959789382027,0.2758505488425853,0.2123456790123457,-0.7610719866455352
Realistic Baseline-run-009,,50,3637,0.8,0.007770102169811258,1,0.2,0.8376941520435737,10295.771548863084,0.685779451726558,0.7341248909241607,0.017453296244455786,83,0.7386177490714698,0.27161212259940126,0.21975308641975308,-0.760875799879251
Realistic Baseline-run-010,,51,5953,0.8285714285714286,0.008832102051920433,1,0.17142857142857143,0.8491812637911125,10294.188074905496,0.5660957461322471,0.6706121086541261,0.0201268052567188,125,0.6816813437585,0.26968094265921616,0.19753086419753085,-0.7608456150315621
Realistic Baseline-run-011,,52,4210,0.926829268292683,0.009264832342318716,1,0.07317073170731707,0.8496699352619621,10282.037234641031,0.6846107754757573,0.7102452713219406,0.020540091641492647,136,0.7166901599685629,0.27407910935803864,0.2222222222222222,-0.7611468974376173
Realistic Baseline-run-012,,53,4415,0.7241379310344828,0.009932608264547,1,0.27586206896551724,0.8536689898172634,10335.443368549086,0.7314608275670175,0.8012159106365904,0.021123619572619746,102,0.7921059383068039,0.2729040740285417,0.20987654320987653,-0.7590247473547578
Realistic Baseline-run-013,,54,3659,0.8695652173913043,0.009656817261871354,1,0.13043478260869565,0.8293646723989527,10287.75591326503,0.6568115119547903,0.7619558485300224,0.021492594321282404,89,0.7584684463463478,0.28692779158815923,0.24938271604938272,-0.7609982004370773
Realistic Baseline-run-014,,55,3864,0.9090909090909091,0.009990489637019716,1,0.09090909090909091,0.8500759565305522,10325.267561731045,0.6559072568145253,0.683395673589813,0.022130513945343374,92,0.7171475218054679,0.28490174005385677,0.21481481481481482,-0.7600212692185917
Realistic Baseline-run-015,,56,4047,0.7567567567567568,0.00949672836079106,1,0.24324324324324326,0.8148465309616948,10284.917177437886,0.6772027679798976,0.7331665841496052,0.02011993289863355,124,0.7399530536507694,0.2769522106028899,0.26666666666666666,-0.7610268410752873
Realistic Baseline-run-016,,57,3376,0.7727272727272727,0.006529864488501899,1,0.22727272727272727,0.8207597693651045,10300.389791181038,0.5634033991709811,0.5696684174485764,0.020321393663235893,96,0.5770134952425724,0.2535201881037414,0.23703703703703705,-0.760873875117563
Realistic Baseline-run-017,,58,4001,1,0.009595944250291717,1,0,0.8446368815436722,10295.78957639175,0.7076850007856954,0.7012199614416004,0.022672124409495495,123,0.7150128046669557,0.2780391175587044,0.21481481481481482,-0.7607798508418615
Realistic Baseline-run-018,,59,4328,0.7,0.009957533253951312,1,0.3,0.8382497849745785,10283.794607020443,0.7329399177141176,0.7381339604111018,0.021933992135584748,105,0.7235064572273553,0.2806433386302986,0.23209876543209876,-0.761097757779341
Realistic Baseline-run-019,,60,4674,0.8333333333333334,0.008441086319498496,1,0.16666666666666666,0.8482606511643158,10289.081942851031,0.6415164523047888,0.7484015971421385,0.022428957091295394,119,0.738975575639916,0.2841453907111599,0.21975308641975308,-0.760870950001603
Realistic Baseline-run-020,,61,4385,0.875,0.008664096457356408,1,0.125,0.824945708698346,10288.60930428239,0.7544248249840125,0.6869996624460828,0.0192706598622723,80,0.6715207285720188,0.27182470046811935,0.24444444444444444,-0.7609911271831331
Realistic Baseline-run-021,,62,5274,0.7941176470588235,0.00947903382453629,1,0.20588235294117646,0.8375347607184254,10292.53716741781,0.7117136767850661,0.7325658542079083,0.02101631452945653,123,0.7247725554633894,0.2697864241768962,0.2123456790123457,-0.760976697600219
Realistic Baseline-run-022,,63,4311,1,0.008416566935231129,1,0,0.8446837986016091,10285.426700912963,0.6561243719415525,0.7165426982398274,0.020399146280174342,79,0.7164263735085675,0.2708479221209342,0.2123456790123457,-0.7610466894076473
Realistic Baseline-run-023,,64,4051,0.9583333333333334,0.008799382986650596,1,0.041666666666666664,0.8458288472389814,10278.495020994274,0.6451304548469211,0.7148699516034713,0.019440245111709203,86,0.6898961717265553,0.287704123768942,0.26666666666666666,-0.7611185435814776
Realistic Baseline-run-024,,65,3873,0.8888888888888888,0.008399728263907778,1,0.1111111111111111,0.8475333098063673,10302.513215224066,0.6238269459088263,0.5409728201779123,0.02140372991732241,98,0.6601398914945652,0.27367527875096914,0.20987654320987653,-0.7607274808417761
Realistic Baseline-run-025,,66,3254,0.8571428571428571,0.007572240284427781,1,0.14285714285714285,0.834773893289958,10291.487782012706,0.6021404621998869,0.6829345096880716,0.017664605396733216,76,0.6591067570091274,0.2741957997810148,0.23209876543209876,-0.7607627841662626
Realistic Baseline-run-026,,67,3133,0.95,0.009312649425152822,1,0.05,0.8192739020784994,10282.38315313381,0.6312859148000788,0.6536190343667504,0.023360518138627415,88,0.6906347343052011,0.279171457264623,0.2617283950617284,-0.7611409543151038
Realistic Baseline-run-027,,68,3616,0.8846153846153846,0.008040937880663375,1,0.11538461538461539,0.8454498087410336,10297.68677047328,0.6913230766804203,0.79090608074215,0.01987053129968209,95,0.7658963892628496,0.2767230863954768,0.2222222222222222,-0.7607386589250043
Realistic Baseline-run-028,,69,3454,0.92,0.011783893701007476,1,0.08,0.8408401444057181,10292.549683406336,0.7369543188133617,0.712113827804397,0.023128586301645614,111,0.7157660127901402,0.28117071419116785,0.22962962962962963,-0.7609975334619827
Realistic Baseline-run-029,,70,3626,0.88,0.008209971342972185,1,0.12,0.8479983890452261,10306.96265607638,0.6322672437386545,0.7042153182080644,0.02027264445941362,103,0.7136508093526965,0.23484685656895407,0.19506172839506172,-0.7605035142776901
Realistic Baseline-run-030,,71,3337,0.8260869565217391,0.008469088075488648,1,0.17391304347826086,0.819959682578902,10293.840167740931,0.6947276955448128,0.7652113471733044,0.018912168677630493,87,0.7154394812920366,0.25815240495439956,0.2345679012345679,-0.7608691789222111
Realistic Baseline-run-031,,72,3914,0.8636363636363636,0.009824727885789402,1,0.13636363636363635,0.8319966081489416,10285.285596839869,0.7687223048058849,0.7103725217687118,0.02144128831895734,85,0.727389691651559,0.2748411199889118,0.23209876543209876,-0.7610728812354014
Realistic Baseline-run-032,,73,4224,0.8695652173913043,0.00811650837867013,1,0.13043478260869565,0.8546886209815807,10289.745990645786,0.617087680460622,0.6801858597134891,0.02067286830463604,102,0.6675769568713193,0.26943487437813063,0.2222222222222222,-0.760973896401735
Realistic Baseline-run-033,,74,4143,0.9,0.00907868004179245,1,0.1,0.8460863208871732,10284.472676745565,0.6806898352201947,0.6853754486267974,0.021315246788840222,88,0.6826486670813111,0.2645490009029294,0.20493827160493827,-0.7610089589559237
Realistic Baseline-run-034,,75,4702,0.8620689655172413,0.008962421887229436,1,0.13793103448275862,0.84352338124926,10293.474425651253,0.6784754661556183,0.7945599378387563,0.01966193918391874,97,0.7843323263136853,0.28716762276622176,0.22962962962962963,-0.7608830174683189
Realistic Baseline-run-035,,76,3905,0.7,0.010043477321671278,1,0.3,0.8386743527238485,10404.899030973325,0.8306765603185962,0.7805651675069113,0.01835852180730551,62,0.8188389526565669,0.2734135529496621,0.21975308641975308,-0.7559323828717449
Realistic Baseline-run-036,,77,3491,0.9629629629629629,0.008264831853517243,1,0.037037037037037035,0.8304460277513872,10294.116432554356,0.7392778043535807,0.7437677857501879,0.019840184390491816,91,0.7266261541732936,0.23804200175321497,0.20987654320987653,-0.7608621914079334
Realistic Baseline-run-037,,78,3616,0.6956521739130435,0.009631610600094395,1,0.30434782608695654,0.8571076673383566,10288.455294606418,0.7498070992521875,0.7212418940684284,0.019844869026343425,85,0.720258178803388,0.2518472266566056,0.2074074074074074,-0.7609238620009382
Realistic Baseline-run-038,,79,3296,0.9047619047619048,0.00873100508901282,1,0.09523809523809523,0.8244127824612957,10288.779795870565,0.6574878973490788,0.716948616540492,0.020931544123138378,80,0.7288121167824083,0.2632372819012514,0.23950617283950618,-0.760955342904855
Realistic Baseline-run-039,,80,3431,0.7931034482758621,0.009081225679399644,1,0.20689655172413793,0.8632536626998997,10289.112683971332,0.6190809618413567,0.6666436150695796,0.02176998966178402,125,0.649800552944977,0.2583909323372095,0.21481481481481482,-0.7609411574128454
Realistic Baseline-run-040,,81,3956,0.9166666666666666,0.011443175553788057,1,0.08333333333333333,0.838266107857204,10288.627877313767,0.758753961887367,0.7435027009147747,0.022819041556009275,99,0.7377034054138953,0.2859050948626562,0.23703703703703705,-0.7609951393971947
Realistic Baseline-run-041,,82,3475,0.9230769230769231,0.009942803947646782,1,0.07692307692307693,0.8406626305206084,10293.258986861358,0.5844237798577981,0.7046139876547118,0.024344015183985566,111,0.6969384599614006,0.2782755716958494,0.2345679012345679,-0.760661137258271
Realistic Baseline-run-042,,83,3605,0.875,0.008356834092155742,1,0.125,0.8205382023291361,10286.21385893246,0.6554817542847586,0.7323723122893773,0.02052231070292405,105,0.730565364149143,0.26569655865613734,0.25679012345679014,-0.7610475999179268
Realistic Baseline-run-043,,84,3761,0.8857142857142857,0.009229760019167997,1,0.11428571428571428,0.8453505910416756,10293.94061510072,0.73203294765493,0.717116102800063,0.022205413752530084,126,0.7514195319893834,0.2782594566106283,0.2222222222222222,-0.7608197750302357
Realistic Baseline-run-044,,85,3200,0.875,0.01008873432448319,1,0.125,0.8390474105074732,10297.330845179788,0.7248107976496482,0.7306510682273415,0.022040135373977268,109,0.7097485839494845,0.2891841817050547,0.23209876543209876,-0.7607666911429191
Realistic Baseline-run-045,,86,3791,1,0.008938222946886258,1,0,0.854370548732239,10301.435949373228,0.6635673483309931,0.6561648184150938,0.02184075658408956,103,0.6790262045645022,0.2477388859493917,0.20493827160493827,-0.7603105336260199
Realistic Baseline-run-046,,87,3275,0.85,0.009620303238431023,1,0.15,0.8447078548490847,10295.548130523774,0.7123783562442131,0.6612691389374984,0.023230169245378976,96,0.6611271584788242,0.2649106355626309,0.21975308641975308,-0.7607904572307896
Realistic Baseline-run-047,,88,4427,0.7878787878787878,0.00889473352588281,1,0.21212121212121213,0.8207242915723005,10623.701598738888,0.6859840592728546,0.7335743830308252,0.02129385908900191,121,0.724211984823098,0.2674741558577116,0.2123456790123457,-0.7610838425948955
Realistic Baseline-run-048,,89,3592,0.875,0.009897857233803837,1,0.125,0.8670139069052538,10292.928403799699,0.7042237304819157,0.7270709489445245,0.021743063715268802,118,0.7274685700584247,0.23583514667506966,0.2074074074074074,-0.7607523794894304
Realistic Baseline-run-049,,90,3526,0.8387096774193549,0.00813130202840979,1,0.16129032258064516,0.8186228124285702,10293.390359224712,0.6756238189721604,0.7758559908945528,0.021214207561054715,111,0.772002804340776,0.25295317751339436,0.23209876543209876,-0.7608874119070871
Realistic Baseline-run-050,,91,3168,0.9583333333333334,0.010421348826987191,1,0.041666666666666664,0.8393259209496571,10288.585890385279,0.7129881449515767,0.7481280013344187,0.019047408348130134,83,0.7815459428379978,0.28210040478750215,0.2271604938271605,-0.7609109569444432
Realistic Baseline-run-051,,92,3196,0.8888888888888888,0.009180266970413437,1,0.1111111111111111,0.8243477697993373,10295.376889974297,0.666428301442737,0.6748384117268724,0.022760168503754726,73,0.7150468534348682,0.270328622239467,0.20246913580246914,-0.7609144474065106
Realistic Baseline-run-052,,93,3279,0.896551724137931,0.008851171673754304,1,0.10344827586206896,0.8505195190001076,10292.16699257941,0.6991089895325141,0.7196068117062463,0.022186484947515534,110,0.7200052637283412,0.26446673135601845,0.19506172839506172,-0.7607450629338096
Realistic Baseline-run-053,,94,3667,0.8076923076923077,0.010525202605260133,1,0.19230769230769232,0.8445064886688118,10293.570871749253,0.7776390113197853,0.741468720055842,0.021828407216920396,98,0.7360179384724954,0.28289514816580286,0.2222222222222222,-0.7608305889529172
Realistic Baseline-run-054,,95,3302,0.84,0.009705057718617526,1,0.16,0.8413346810913545,10285.61249562224,0.6864898759683141,0.7119323372729238,0.023422996149637408,103,0.7292311659579137,0.26864218511938326,0.20987654320987653,-0.7610268479823994
Realistic Baseline-run-055,,96,3683,0.9583333333333334,0.008877139150130626,1,0.041666666666666664,0.8488121139470901,10291.660854154657,0.6830295077609572,0.6471369673884707,0.02019807334505547,99,0.6780821982551489,0.24089377250473115,0.18271604938271604,-0.7608233770784254
Realistic Baseline-run-056,,97,3258,0.9130434782608695,0.009132443188990029,1,0.08695652173913043,0.8423779900018995,10294.158006228732,0.5305413133067401,0.6526633048966914,0.02345043158427857,106,0.6559552147771467,0.2930488013329244,0.2419753086419753,-0.7605723645941886
