# Pairwise T-Test Comparisons
sweep_value_1,sweep_value_2,metric,t_statistic,df,p_value,significant,cohens_d,effect_interpretation
100,200,Participation Trend,0.509654,122.150594,0.611213,false,0.072076,negligible
100,200,Token Concentration Gini,0.194370,196.238419,0.846087,false,0.027488,negligible
100,200,Final Gini,0.202170,196.343501,0.839993,false,0.028591,negligible
100,200,Final Treasury,-1.533704,197.426275,0.126703,false,-0.216899,small
100,200,Governance Capture Risk,5.547180,185.156831,0.000000,true,0.784490,medium
100,200,Single Entity Control,16.641719,136.633921,0,true,2.353494,very_large
100,350,Proposal Pass Rate,-39.959523,112.934082,0,true,-5.651130,very_large
100,350,Average Turnout,13.639443,169.393081,0,true,1.928908,very_large
100,350,Voter Participation Rate,21.585554,162.908121,0,true,3.052658,very_large
100,350,Delegate Concentration,4.473873,176.560123,0.000014,true,0.632701,medium
100,350,Whale Influence,6.791828,176.092498,0.000000,true,0.960509,large
100,350,Voter Concentration Gini,0.352518,153.597772,0.724933,false,0.049854,negligible
100,350,Unique Voter Count,-176.755379,116.696116,0,true,-24.996985,very_large
100,350,Voter Retention Rate,4.855791,197.368326,0.000002,true,0.686713,medium
100,350,Quorum Reach Rate,-0.724603,138.673655,0.469916,false,-0.102474,negligible
100,350,Final Member Count,0,198,1,false,0,negligible
100,350,Total Proposals,-122.332944,155.421937,0,true,-17.300491,very_large
100,350,Avg Votes Per Proposal,-183.262111,141.274393,0,true,-25.917176,very_large
100,350,Participation Trend,-0.119960,102.948887,0.904749,false,-0.016965,negligible
100,350,Token Concentration Gini,-0.777351,188.218395,0.437928,false,-0.109934,negligible
100,350,Final Gini,-0.775733,188.230248,0.438880,false,-0.109705,negligible
100,350,Final Treasury,-3.920265,191.735213,0.000123,true,-0.554409,medium
100,350,Governance Capture Risk,8.728022,167.225897,0.000000,true,1.234329,very_large
100,350,Single Entity Control,25.682835,107.725539,0,true,3.632101,very_large
100,500,Proposal Pass Rate,-45.822088,104.053346,0,true,-6.480222,very_large
100,500,Average Turnout,20.974198,141.619873,0,true,2.966199,very_large
100,500,Voter Participation Rate,33.080290,144.149095,0,true,4.678259,very_large
100,500,Delegate Concentration,5.418241,148.582325,0.000000,true,0.766255,medium
100,500,Whale Influence,7.920803,144.614002,0.000000,true,1.120171,large
100,500,Voter Concentration Gini,5.486003,131.971674,0.000000,true,0.775838,medium
100,500,Unique Voter Count,-207.412248,108.137260,0,true,-29.332521,very_large
100,500,Voter Retention Rate,6.538231,196.236442,0.000000,true,0.924646,large
100,500,Quorum Reach Rate,-0.817270,127.516751,0.415298,false,-0.115579,negligible
100,500,Final Member Count,0,198,1,false,0,negligible
100,500,Total Proposals,-166.959225,137.607491,0,true,-23.611600,very_large
100,500,Avg Votes Per Proposal,-242.314500,131.405049,0,true,-34.268445,very_large
