run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Average Turnout,Final Treasury,Final Token Price,Final Member Count,Total Proposals,Quorum Reach Rate,Avg Margin of Victory,Avg Time to Decision,Proposal Abandonment Rate,Proposal Rejection Rate,Governance Overhead,Unique Voter Count,Voter Participation Rate,Voter Concentration Gini,Delegate Concentration,Avg Votes Per Proposal,Voter Retention Rate,Voting Power Utilization,Treasury Volatility,Treasury Growth Rate,Staking Participation,Token Concentration Gini,Avg Member Wealth,Wealth Mobility,Whale Influence,Whale Proposal Rate,Governance Capture Risk,Vote Buying Vulnerability,Single Entity Control,Collusion Threshold,Participation Trend,Treasury Trend,Member Growth Rate,Proposal Rate,Governance Activity Index,Final Gini,Final Reputation Gini
Sensitivity - Quorum Threshold-0_01-run-001,0.01,303,3332,0.1,0.07053407403757297,10806.056629563194,0.973659535517864,210,202,0.3118811881188119,0.5344157360540462,1065.78,0.009900990099009901,0.9,18.48,206,0.08712871287128712,0.24603689960832817,0.34396454175547353,18.297029702970296,1,0.07053407403757303,0.17640504704740878,-0.7489408569627325,0.12304449468943608,0.5489445961482798,116.88819334819961,0.45105540385172016,0.4981714967043937,0.10396039603960396,0.3412739846896531,69.58779142381323,0.04033158165292429,0.11904761904761904,-0.000025064297299089256,-1.0455048782155023,0,10.100000000000001,0.007053407403757298,0.5489445961482795,0.9738534017540275
Sensitivity - Quorum Threshold-0_01-run-002,0.01,304,3494,0.10194174757281553,0.0775049638983219,12035.59128032883,3.5892464786058955,210,216,0.37962962962962965,0.5234715052948142,996.2766990291262,0.046296296296296294,0.8980582524271845,21.04368932038835,206,0.09556878306878318,0.23294447190640963,0.3304600854407869,20.069444444444443,1,0.07750496389832189,0.1909279531733857,-0.6891749435090684,0.12420728954749294,0.5489084502131235,115.7939178778306,0.4510915497868765,0.5407525389495823,0.09259259259259259,0.33194943277165456,98.71892466518737,0.041123962719085576,0.11904761904761904,0.000027729991496608965,-1.0920814484940307,0,10.8,0.007983011281527156,0.5489084502131234,0.9778957202469829
Sensitivity - Quorum Threshold-0_01-run-004,0.01,306,3489,0.024154589371980676,0.06954110355754599,12026.655462505103,1.3673372789836187,210,211,0.27488151658767773,0.4540980124042052,1021.8454106280193,0.018957345971563982,0.9758454106280193,20.33816425120773,206,0.09501241254795773,0.23835538966180297,0.32326428183716754,19.95260663507109,1,0.06954110355754606,0.1725202569998855,-0.7204651438541382,0.11380540421951932,0.5840730545004894,126.37755460143183,0.4159269454995106,0.5108413494734094,0.08056872037914692,0.33863412013046984,79.89726697031307,0.037679988166591814,0.09047619047619047,-0.00011234631988495315,-0.8062003416069137,0,10.549999999999999,0.007197504218206009,0.5840730545004893,0.9742108437206678
Sensitivity - Quorum Threshold-0_01-run-003,0.01,305,3690,0.07407407407407407,0.06825796508711046,12030.397612720255,1.2327464468868037,210,219,0.2876712328767123,0.5543803688532496,1059.625,0.0136986301369863,0.9259259259259259,18.49074074074074,206,0.0868449662970212,0.24475045902186612,0.34497963299089746,18.23744292237443,1,0.06825796508711049,0.17923562808109908,-0.689524039768362,0.11993966899584249,0.5657127594542438,119.91402682784515,0.4342872405457562,0.5514395609568105,0.1050228310502283,0.3377058629897012,80.25389657304082,0.03971099034761964,0.09523809523809523,0.000006821717117245852,-0.7755658918858482,0,10.95,0.007371860229407929,0.5657127594542437,0.9750194682757551
Sensitivity - Quorum Threshold-0_01-run-005,0.01,307,2925,0.062146892655367235,0.0730173552451649,12029.85868477908,1.5364131182043634,210,181,0.30939226519337015,0.5385596068363618,1004.4971751412429,0.022099447513812154,0.9378531073446328,20.36723163841808,206,0.09484346224677717,0.2432877617066244,0.32250178887239334,19.917127071823206,1,0.07301735524516492,0.18919727105133366,-0.7204556658720304,0.11919155124133503,0.5515542282194156,120.66667927300675,0.4484457717805844,0.4548520284183667,0.13259668508287292,0.33194936241868583,105.38902458976816,0.03946329500898103,0.10476190476190476,0.00009874681936131964,-0.9296802001450735,0,9.049999999999999,0.006462035939197092,0.5515542282194155,0.9752737803086979
Sensitivity - Quorum Threshold-0_01-run-008,0.01,310,2927,0.07909604519774012,0.06853401208762709,10392.60530164969,0.9713879752398843,210,179,0.29608938547486036,0.5382640117436155,989.9661016949152,0.0111731843575419,0.9209039548022598,18.310734463276837,206,0.08621973929236497,0.2601563303507148,0.3462651093957234,18.106145251396647,1,0.0685340120876271,0.20129254829938273,-0.7316058634150491,0.12114158859147045,0.5473473580774487,118.72428662127507,0.4526526419225513,0.5086010666121434,0.11731843575418995,0.36177088296448523,88.54199945179215,0.04010893556341186,0.11428571428571428,-0.00020664029599311718,-1.0597092524537757,0,8.95,0.006065260069754997,0.5473473580774488,0.9756024754388468
Sensitivity - Quorum Threshold-0_01-run-006,0.01,308,3079,0.06018518518518518,0.08040234866744674,10693.884371219061,1.2627794709231295,210,217,0.3317972350230415,0.4854120856918703,1035.1064814814815,0.004608294930875576,0.9398148148148148,22.47685185185185,206,0.10653938994952844,0.22917071256927077,0.32050647576632646,22.37327188940092,1,0.08040234866744671,0.20725175572167753,-0.7238251834602977,0.11967299490261711,0.561615698525567,120.1812380261221,0.43838430147443297,0.532516194868628,0.12903225806451613,0.33697108070090476,94.0534147095064,0.039226469885932085,0.1,0.000052063793219840803,-1.3840119312484298,0,10.85,0.008683453656084248,0.5616156985255669,0.9749310977691932
Sensitivity - Quorum Threshold-0_01-run-007,0.01,309,3243,0.07441860465116279,0.05831923919113786,11170.448561588128,1.2585753087410547,210,220,0.2590909090909091,0.5494839964934816,1048.0093023255813,0.022727272727272728,0.9255813953488372,15.827906976744186,206,0.07365800865800864,0.2494339728250983,0.3526124969088882,15.468181818181819,1,0.05831923919113788,0.20019671503127304,-0.7403659112474587,0.12163201754585615,0.5649987111982837,118.24558184499436,0.4350012888017163,0.5040331898250748,0.09090909090909091,0.3508652046769637,120.90926195273725,0.040271312361987804,0.1,0.00008510084353033476,-1.110335129151716,0,11,0.00626931821304732,0.564998711198283,0.9762768282264711
Sensitivity - Quorum Threshold-0_01-run-009,0.01,311,2875,0.09137055837563451,0.09010548848565272,11610.94541577539,1.027598968699192,210,204,0.4117647058823529,0.5014029225918505,1058.9289340101523,0.03431372549019608,0.9086294416243654,25.79695431472081,206,0.11862745098039228,0.21035025580480127,0.3275855919866539,24.91176470588235,1,0.09010548848565267,0.22720007824468474,-0.7301274683859473,0.13784353390386514,0.5354917522076831,104.3389434263992,0.4645082477923169,0.44663174619801044,0.004901960784313725,0.3564919211762346,101.2317745160929,0.04563880566093536,0.1619047619047619,0.00004863095443884821,-1.6710200763792917,0,10.2,0.008875390615836793,0.5354917522076827,0.9905528535268469
Sensitivity - Quorum Threshold-0_01-run-011,0.01,313,2835,0.11475409836065574,0.08233255575127504,10306.91095818286,0.9333637730848283,210,188,0.3776595744680851,0.5131510313513585,1136.3715846994535,0.026595744680851064,0.8852459016393442,21.759562841530055,206,0.10086119554204671,0.22784913061156156,0.3179887578765706,21.180851063829788,1,0.082332555751275,0.1883560653878827,-0.7604370657340073,0.12630264635103475,0.528747145852247,113.87290053857603,0.471252854147753,0.5079086850366552,0.10638297872340426,0.3394367010461402,72.82825228578747,0.041399540118754456,0.14285714285714285,-0.00013459131373153762,-1.264200337486163,0,9.4,0.007533428851241667,0.5287471458522466,0.9735595774712706
