# Pairwise T-Test Comparisons
sweep_value_1,sweep_value_2,metric,t_statistic,df,p_value,significant,cohens_d,effect_interpretation
0.01,0.05,Final Gini,2.038171,57.987299,0.046103,false,0.526253,medium
0.01,0.05,Final Reputation Gini,0.410841,55.645907,0.682767,false,0.106079,negligible
0.01,0.08,Proposal Pass Rate,-0.481517,57.441096,0.631979,false,-0.124327,negligible
0.01,0.08,Average Turnout,0.320867,56.823976,0.749488,false,0.082847,negligible
0.01,0.08,Final Treasury,-2.703389,42.626079,0.009818,false,-0.698012,medium
0.01,0.08,Final Token Price,-1.597881,35.938419,0.118826,false,-0.412571,small
0.01,0.08,Final Member Count,0,58,1,false,0,negligible
0.01,0.08,Total Proposals,-0.607483,57.264258,0.545932,false,-0.156851,negligible
0.01,0.08,Quorum Reach Rate,0.010258,55.829400,0.991852,false,0.002649,negligible
0.01,0.08,Avg Margin of Victory,0.155667,50.744418,0.876913,false,0.040193,negligible
0.01,0.08,Avg Time to Decision,-0.366917,57.224021,0.715034,false,-0.094738,negligible
0.01,0.08,Proposal Abandonment Rate,1.121743,53.822737,0.266951,false,0.289633,small
0.01,0.08,Proposal Rejection Rate,0.481517,57.441096,0.631979,false,0.124327,negligible
0.01,0.08,Governance Overhead,0.522233,57.640670,0.603509,false,0.134840,negligible
0.01,0.08,Unique Voter Count,0,58,1,false,0,negligible
0.01,0.08,Voter Participation Rate,0.405081,57.527545,0.686921,false,0.104591,negligible
0.01,0.08,Voter Concentration Gini,-0.728920,53.672169,0.469220,false,-0.188206,negligible
0.01,0.08,Delegate Concentration,-1.059870,51.084404,0.294189,false,-0.273657,small
0.01,0.08,Avg Votes Per Proposal,0.405081,57.527545,0.686921,false,0.104591,negligible
0.01,0.08,Voter Retention Rate,0,58,1,false,0,negligible
0.01,0.08,Voting Power Utilization,0.320867,56.823976,0.749488,false,0.082847,negligible
0.01,0.08,Treasury Volatility,0.167318,57.551893,0.867707,false,0.043201,negligible
0.01,0.08,Treasury Growth Rate,-1.404928,50.278799,0.166191,false,-0.362751,small
0.01,0.08,Staking Participation,-0.598872,54.976098,0.551718,false,-0.154628,negligible
0.01,0.08,Token Concentration Gini,0.120338,56.246202,0.904644,false,0.031071,negligible
0.01,0.08,Avg Member Wealth,0.532729,55.026283,0.596366,false,0.137550,negligible
0.01,0.08,Wealth Mobility,-0.120338,56.246202,0.904644,false,-0.031071,negligible
0.01,0.08,Whale Influence,0.280184,54.631960,0.780395,false,0.072343,negligible
0.01,0.08,Whale Proposal Rate,0.341727,56.978342,0.733813,false,0.088234,negligible
0.01,0.08,Governance Capture Risk,-1.780696,44.586136,0.081776,false,-0.459774,small
0.01,0.08,Vote Buying Vulnerability,0.693934,55.436086,0.490621,false,0.179173,negligible
0.01,0.08,Single Entity Control,-0.714132,55.462384,0.478140,false,-0.184388,negligible
0.01,0.08,Collusion Threshold,-0.441992,55.375863,0.660217,false,-0.114122,negligible
0.01,0.08,Participation Trend,-1.580016,56.440929,0.119692,false,-0.407959,small
0.01,0.08,Treasury Trend,-1.032130,57.460485,0.306336,false,-0.266495,small
0.01,0.08,Member Growth Rate,0,58,1,false,0,negligible
0.01,0.08,Proposal Rate,-0.607483,57.264258,0.545932,false,-0.156851,negligible
0.01,0.08,Governance Activity Index,-0.191260,55.962978,0.849014,false,-0.049383,negligible
0.01,0.08,Final Gini,0.120338,56.246202,0.904644,false,0.031071,negligible
0.01,0.08,Final Reputation Gini,0.496705,57.998496,0.621275,false,0.128249,negligible
0.01,0.1,Proposal Pass Rate,-0.814182,56.307167,0.418970,false,-0.210221,small
0.01,0.1,Average Turnout,0.886659,56.732514,0.379006,false,0.228934,small
0.01,0.1,Final Treasury,-1.897551,50.221291,0.063512,false,-0.489945,small
0.01,0.1,Final Token Price,-2.387371,34.023339,0.022669,false,-0.616417,medium
0.01,0.1,Final Member Count,0,58,1,false,0,negligible
0.01,0.1,Total Proposals,-0.342439,54.235734,0.733344,false,-0.088417,negligible
0.01,0.1,Quorum Reach Rate,0.591189,57.556270,0.556709,false,0.152644,negligible
0.01,0.1,Avg Margin of Victory,-1.138224,57.763319,0.259726,false,-0.293888,small
0.01,0.1,Avg Time to Decision,-0.914147,56.945464,0.364494,false,-0.236032,small
0.01,0.1,Proposal Abandonment Rate,0.800275,51.082430,0.427258,false,0.206630,small
0.01,0.1,Proposal Rejection Rate,0.814182,56.307167,0.418970,false,0.210221,small
0.01,0.1,Governance Overhead,1.592990,57.787712,0.116618,false,0.411308,small
0.01,0.1,Unique Voter Count,0,58,1,false,0,negligible
0.01,0.1,Voter Participation Rate,1.517523,57.604843,0.134604,false,0.391823,small
0.01,0.1,Voter Concentration Gini,-1.539531,57.809375,0.129131,false,-0.397505,small
0.01,0.1,Delegate Concentration,-2.121756,55.869629,0.038307,false,-0.547835,medium
0.01,0.1,Avg Votes Per Proposal,1.517523,57.604843,0.134604,false,0.391823,small
0.01,0.1,Voter Retention Rate,1.000000,29,0.325582,false,0.258199,small
0.01,0.1,Voting Power Utilization,0.886659,56.732514,0.379006,false,0.228934,small
0.01,0.1,Treasury Volatility,-1.327050,57.892794,0.189703,false,-0.342643,small
0.01,0.1,Treasury Growth Rate,-0.380759,55.946240,0.704824,false,-0.098312,negligible
0.01,0.1,Staking Participation,-1.501693,57.306359,0.138667,false,-0.387736,small
0.01,0.1,Token Concentration Gini,1.025029,57.701528,0.309628,false,0.264661,small
0.01,0.1,Avg Member Wealth,1.534618,57.602344,0.130352,false,0.396237,small
0.01,0.1,Wealth Mobility,-1.025029,57.701528,0.309628,false,-0.264661,small
0.01,0.1,Whale Influence,-0.756764,57.992324,0.452255,false,-0.195396,negligible
0.01,0.1,Whale Proposal Rate,0.092311,56.336046,0.926778,false,0.023835,negligible
0.01,0.1,Governance Capture Risk,-1.886293,47.862994,0.065331,false,-0.487039,small
0.01,0.1,Vote Buying Vulnerability,0.732328,53.874528,0.467143,false,0.189086,negligible
0.01,0.1,Single Entity Control,-1.478734,57.428648,0.144676,false,-0.381807,small
0.01,0.1,Collusion Threshold,-1.182125,57.916700,0.241987,false,-0.305223,small
0.01,0.1,Participation Trend,-1.337544,56.233646,0.186430,false,-0.345352,small
0.01,0.1,Treasury Trend,-0.638242,57.816734,0.525836,false,-0.164793,negligible
0.01,0.1,Member Growth Rate,0,58,1,false,0,negligible
0.01,0.1,Proposal Rate,-0.342439,54.235734,0.733344,false,-0.088417,negligible
0.01,0.1,Governance Activity Index,0.557827,57.813734,0.579117,false,0.144030,negligible
0.01,0.1,Final Gini,1.025029,57.701528,0.309628,false,0.264661,small
0.01,0.1,Final Reputation Gini,-0.728852,52.412003,0.469337,false,-0.188189,negligible
0.03,0.05,Proposal Pass Rate,-0.272848,57.238559,0.785952,false,-0.070449,negligible
0.03,0.05,Average Turnout,-0.465136,56.077117,0.643635,false,-0.120098,negligible
0.03,0.05,Final Treasury,-0.978230,51.696387,0.332516,false,-0.252578,small
0.03,0.05,Final Token Price,0.973543,34.041358,0.337151,false,0.251368,small
0.03,0.05,Final Member Count,0,58,1,false,0,negligible
0.03,0.05,Total Proposals,-1.589912,57.413930,0.117347,false,-0.410514,small
0.03,0.05,Quorum Reach Rate,0.028145,57.683588,0.977644,false,0.007267,negligible
0.03,0.05,Avg Margin of Victory,0.033715,57.643406,0.973221,false,0.008705,negligible
0.03,0.05,Avg Time to Decision,0.162828,57.732182,0.871222,false,0.042042,negligible
0.03,0.05,Proposal Abandonment Rate,-1.320927,53.701448,0.192127,false,-0.341062,small
0.03,0.05,Proposal Rejection Rate,0.272848,57.238559,0.785952,false,0.070449,negligible
0.03,0.05,Governance Overhead,-0.695324,56.802541,0.489687,false,-0.179532,negligible
0.03,0.05,Unique Voter Count,0,58,1,false,0,negligible
0.03,0.05,Voter Participation Rate,-0.593963,57.043318,0.554885,false,-0.153361,negligible
0.03,0.05,Voter Concentration Gini,1.444240,57.940076,0.154058,false,0.372901,small
0.03,0.05,Delegate Concentration,0.888054,57.762933,0.378195,false,0.229295,small
0.03,0.05,Avg Votes Per Proposal,-0.593963,57.043318,0.554885,false,-0.153361,negligible
0.03,0.05,Voter Retention Rate,1.000000,29,0.325582,false,0.258199,small
0.03,0.05,Voting Power Utilization,-0.465136,56.077117,0.643635,false,-0.120098,negligible
0.03,0.05,Treasury Volatility,-0.821663,57.903578,0.414639,false,-0.212153,small
0.03,0.05,Treasury Growth Rate,-0.956384,51.215285,0.343371,false,-0.246937,small
0.03,0.05,Staking Participation,-0.879073,53.993311,0.383257,false,-0.226976,small
0.03,0.05,Token Concentration Gini,-0.140646,56.116006,0.888653,false,-0.036315,negligible
0.03,0.05,Avg Member Wealth,0.815531,55.005556,0.418286,false,0.210569,small
0.03,0.05,Wealth Mobility,0.140646,56.116006,0.888653,false,0.036315,negligible
0.03,0.05,Whale Influence,0.776356,57.544681,0.440718,false,0.200454,small
0.03,0.05,Whale Proposal Rate,0.339947,56.264991,0.735163,false,0.087774,negligible
0.03,0.05,Governance Capture Risk,0.865584,57.596053,0.390310,false,0.223493,small
0.03,0.05,Vote Buying Vulnerability,0.847668,57.389610,0.400144,false,0.218867,small
0.03,0.05,Single Entity Control,-0.816220,53.726752,0.417979,false,-0.210747,small
0.03,0.05,Collusion Threshold,-0.555230,55.053711,0.580987,false,-0.143360,negligible
0.03,0.05,Participation Trend,0.277636,57.805235,0.782282,false,0.071685,negligible
0.03,0.05,Treasury Trend,1.358517,49.268863,0.180488,false,0.350767,small
0.03,0.05,Member Growth Rate,0,58,1,false,0,negligible
0.03,0.05,Proposal Rate,-1.589912,57.413930,0.117347,false,-0.410514,small
0.03,0.05,Governance Activity Index,-1.030994,57.113159,0.306890,false,-0.266202,small
0.03,0.05,Final Gini,-0.140646,56.116006,0.888653,false,-0.036315,negligible
0.03,0.05,Final Reputation Gini,-0.012534,32.545735,0.990076,false,-0.003236,negligible
0.03,0.08,Proposal Pass Rate,1.181556,57.550465,0.242241,false,0.305077,small
0.03,0.08,Average Turnout,1.196420,57.977839,0.236402,false,0.308914,small
