run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Quorum Reach Rate,Avg Time to Decision,Proposal Abandonment Rate,Proposal Rejection Rate,Governance Overhead,Average Turnout,Avg Margin of Victory,Proposal Rate,Total Proposals
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=0-run-003,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=0,807,22699,0.9649122807017544,1,867.7719298245614,0,0.03508771929824561,80.85964912280701,0.2461241194577772,0.5515522754133941,2.9499999999999997,59
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=6-run-003,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=6,907,19314,1,1,798.2162162162163,0,0,72.05405405405405,0.2368123900986112,0.6011202120260218,1.9,38
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=12-run-003,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=12,1007,19371,0.9818181818181818,1,835.9272727272727,0,0.01818181818181818,79.54545454545455,0.22236610112384975,0.5301487218901694,2.85,57
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=0-run-003,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=0,1107,21610,1,1,841.5098039215686,0,0,83.01960784313725,0.23053234197251113,0.664801071847031,2.6,52
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=6-run-003,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=6,1207,21547,0.9534883720930233,1,692.1162790697674,0,0.046511627906976744,81.93023255813954,0.2170701816466331,0.523948612723968,2.15,43
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=12-run-003,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=12,1307,18263,0.9736842105263158,1,856.7105263157895,0,0.02631578947368421,72.23684210526316,0.22775056231125407,0.6326729744644595,2,40
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=0-run-004,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=0,508,19410,0.95,1,990.275,0,0.05,83.125,0.26480498486119897,0.49799946166224796,2.0500000000000003,41
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=6-run-004,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=6,608,16342,0.9705882352941176,1,781.6470588235294,0,0.029411764705882353,74.73529411764706,0.21671325248226178,0.5846131651396582,1.7500000000000002,35
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=12-run-004,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=12,708,19492,0.9318181818181818,1,887.5681818181819,0,0.06818181818181818,79.5909090909091,0.2375978703726367,0.47595708755819904,2.35,47
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=0-run-004,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=0,808,20047,1,1,914.8679245283018,0,0,81.24528301886792,0.25932014586758,0.5649663139561222,2.7,54
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=6-run-004,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=6,908,20112,0.9583333333333334,1,866.2916666666666,0,0.041666666666666664,70.31944444444444,0.23112553069407668,0.4724969402397315,3.6999999999999997,74
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=12-run-004,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=12,1008,20465,0.9791666666666666,1,879.625,0,0.020833333333333332,72.79166666666667,0.240287807424291,0.5106422371274782,2.4,48
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=0-run-004,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=0,1108,18871,0.9795918367346939,1,994.3265306122449,0,0.02040816326530612,77.73469387755102,0.26424438049867255,0.6905711297373729,2.6,52
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=6-run-004,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=6,1208,21185,0.9782608695652174,1,917.6304347826087,0,0.021739130434782608,73.56521739130434,0.23126458573583533,0.6230547468380752,2.35,47
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=12-run-004,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=12,1308,21764,1,1,742.0833333333334,0,0,81.26666666666667,0.22376950473099588,0.5954310883648636,3.2,64
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=0-run-005,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=0,509,21578,0.9523809523809523,1,913.8571428571429,0,0.047619047619047616,89.54761904761905,0.26631907219093587,0.3984970508218057,2.3,46
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=6-run-005,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=6,609,20721,0.9210526315789473,1,960.4473684210526,0,0.07894736842105263,65.47368421052632,0.22901185005782274,0.485032424162523,1.95,39
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=12-run-005,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=12,709,22069,0.9811320754716981,1,1040.132075471698,0,0.018867924528301886,65.9245283018868,0.2378671251607943,0.5141256374549245,2.65,53
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=0-run-005,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=0,809,18787,1,1,803.6,0,0,83.88888888888889,0.23920347943374584,0.5758061349238557,2.35,47
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=6-run-005,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=6,909,22037,0.9803921568627451,1,963.7450980392157,0,0.0196078431372549,77.56862745098039,0.20725734761013895,0.5295397903640892,2.7,54
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=12-run-005,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=12,1009,16868,1,0.975609756097561,834.2,0,0,73.975,0.22832336546633783,0.5594588271955898,2.0500000000000003,41
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=0-run-005,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=0,1109,19092,0.9772727272727273,1,862.6363636363636,0,0.022727272727272728,86.29545454545455,0.2611514233715514,0.7423260776531151,2.4,48
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=6-run-005,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=6,1209,16245,1,1,727.8723404255319,0,0,69.76595744680851,0.23554382726764336,0.5715832483157076,2.4,48
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=12-run-005,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=12,1309,19581,0.9824561403508771,1,982.9824561403509,0,0.017543859649122806,73.05263157894737,0.22007825844266862,0.6009804948436916,2.9000000000000004,58
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=0-run-006,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=0,510,21238,0.9411764705882353,1,915,0,0.058823529411764705,84.82352941176471,0.24918970850082167,0.48868281483798764,2.7,54
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=6-run-006,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=6,610,20907,0.9230769230769231,1,963.8717948717949,0,0.07692307692307693,76.87179487179488,0.24622728464255927,0.4290599572129579,2.1,42
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=12-run-006,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=12,710,20628,0.9130434782608695,1,904.0869565217391,0,0.08695652173913043,76.02173913043478,0.2500840714968451,0.42181685533371654,2.35,47
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=0-run-006,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=0,810,19586,0.9615384615384616,1,877.9615384615385,0,0.038461538461538464,81.6923076923077,0.240865144863489,0.6091891613545667,2.7,54
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=6-run-006,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=6,910,18609,1,1,688.0961538461538,0,0,68.38461538461539,0.2303151797353809,0.5699557317745718,2.6,52
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=12-run-006,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=12,1010,19961,1,1,841.7368421052631,0,0,78.43859649122807,0.21188130440835265,0.46461808560930856,2.9499999999999997,59
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=0-run-006,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=0,1110,22051,1,1,917.38,0,0,81.56,0.23543609510219166,0.5774818577284914,2.55,51
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=6-run-006,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=6,1210,18089,1,1,1046.71875,0,0,73,0.21994719392677994,0.5995100809053141,1.6500000000000001,33
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=12-run-006,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=12,1310,18437,0.975,1,848.8,0,0.025,82.175,0.2128003617185268,0.46288321591530623,2.15,43
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=0-run-007,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=0,511,20448,1,0.9824561403508771,862.9814814814815,0,0,85.98148148148148,0.2621907842101365,0.4998895083150083,2.85,57
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=6-run-007,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=6,611,21359,0.96,1,834.32,0,0.04,78.74,0.2350956139889501,0.4589925695030777,2.65,53
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=12-run-007,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=12,711,19922,1,1,841.1764705882352,0,0,78.37254901960785,0.22199166870128903,0.5847137207176826,2.65,53
