run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Average Turnout,Final Treasury,Final Token Price,Final Member Count,Total Proposals,Quorum Reach Rate,Avg Margin of Victory,Avg Time to Decision,Proposal Abandonment Rate,Proposal Rejection Rate,Governance Overhead,Unique Voter Count,Voter Participation Rate,Voter Concentration Gini,Delegate Concentration,Avg Votes Per Proposal,Voter Retention Rate,Voting Power Utilization,Treasury Volatility,Treasury Growth Rate,Staking Participation,Token Concentration Gini,Avg Member Wealth,Wealth Mobility,Whale Influence,Whale Proposal Rate,Governance Capture Risk,Vote Buying Vulnerability,Single Entity Control,Collusion Threshold,Participation Trend,Treasury Trend,Member Growth Rate,Proposal Rate,Governance Activity Index,Final Gini,Final Reputation Gini
Calibration - Participation Dynamics-voting_activity=0_15_participation_target_rate=0-run-001,voting_activity=0.15_participation_target_rate=0,101,14515,0.6729857819905213,0.20950319659429706,10351.926091072008,1.0310828455700751,210,213,0.9953051643192489,0.26530507891402444,1051.60663507109,0,0.32701421800947866,39.54976303317535,176,0.18656382740889782,0.3452589232217752,0.20991038115206154,39.178403755868544,0.8409090909090909,0.2098079608684293,0.2415714270918443,-0.7256818852915129,0.09486824015896603,0.41172490775822546,101.06964256664703,0.5882750922417745,0.22307176490247524,0.09859154929577464,0.22700797069909054,133.3813838552088,0.02944259709278908,0.2571428571428571,0.000019828828457836005,-12.579810300855165,0,10.65,0.0221347398716193,0.4125745732310677,0.9755462435365756
Calibration - Participation Dynamics-voting_activity=0_15_participation_target_rate=0_15-run-001,voting_activity=0.15_participation_target_rate=0.15,201,22800,0.8564593301435407,0.3049787695873353,10476.166909261983,2.165298399303049,210,211,1,0.28027569508325345,1026.7607655502393,0,0.14354066985645933,54.985645933014354,160,0.25935454750620635,0.34491157409709444,0.20525555372877233,54.464454976303315,0.925,0.3052110061809386,0.2508816773075077,-0.7685867009605757,0.09869026530646755,0.3897899483827467,97.15547013698391,0.6102100516172533,0.22900909187117255,0.061611374407582936,0.21834938547607535,213.58539239072056,0.022853916360701842,0.2761904761904762,-0.00016387793304294064,-15.143885468974599,0,10.549999999999999,0.031894550145908085,0.38978854770183946,0.9757053578027441
Calibration - Participation Dynamics-voting_activity=0_15_participation_target_rate=0_25-run-001,voting_activity=0.15_participation_target_rate=0.25,301,18005,0.8505747126436781,0.329992118015825,10743.066301975303,0.946535313345697,210,179,1,0.26699184942818965,969.7873563218391,0,0.14942528735632185,60.71264367816092,166,0.28103218941207764,0.3443545915147581,0.21862752367007401,59.01675977653631,0.891566265060241,0.33078611055074736,0.26842075627410095,-0.7498207516450535,0.0979991540153601,0.39572682173494195,97.84063158637763,0.6042731782650581,0.23974810081297743,0.0782122905027933,0.2301646867170955,216.16426367399728,0.028105914739273475,0.2714285714285714,-0.00020141500268144093,-15.614974568897091,0,8.95,0.028778391617915025,0.39572544853131064,0.9735500542033377
Calibration - Participation Dynamics-voting_activity=0_25_participation_target_rate=0-run-001,voting_activity=0.25_participation_target_rate=0,401,16667,0.7902439024390244,0.29103364344229654,10781.317690025326,1.4264738371609331,210,212,0.9952830188679245,0.27705483909713763,946.8731707317073,0,0.2097560975609756,52.24878048780488,172,0.2405884995507638,0.3404897501900583,0.214424568531361,50.52358490566038,0.8546511627906976,0.2922026526856115,0.2634663995708173,-0.7193191690794718,0.10331424998154388,0.3754117688165414,92.80713091859434,0.6245882311834585,0.22922905068722876,0.1320754716981132,0.21584584049775757,170.77208300513664,0.028116915140142387,0.29523809523809524,-0.0002015052956316733,-18.224428617290155,0,10.6,0.0299507719002752,0.37497587892552864,0.9763823970232921
Calibration - Participation Dynamics-voting_activity=0_25_participation_target_rate=0_15-run-001,voting_activity=0.25_participation_target_rate=0.15,501,19348,0.9128440366972477,0.35181622398044593,10805.512138156262,2.046891580826515,210,222,1,0.28743240704963235,959.4724770642201,0,0.0871559633027523,66.26146788990826,176,0.3098455598455597,0.33111242974171323,0.2217544751643131,65.06756756756756,0.8409090909090909,0.3523911089063502,0.24642385811400996,-0.7277641577744846,0.09467621670941727,0.41311600182310115,101.27463323996338,0.5868839981768988,0.23555139684997614,0.10810810810810811,0.2259011617861277,315.8487568056232,0.027432497859747714,0.2571428571428571,-0.00017048819623238068,-14.914053386034405,0,11.1,0.03841063087079218,0.4126855817518733,0.9760112428489696
Calibration - Participation Dynamics-voting_activity=0_25_participation_target_rate=0_25-run-001,voting_activity=0.25_participation_target_rate=0.25,601,19149,0.8986175115207373,0.3983003203805307,12023.924367101628,1.0634258446830294,210,217,1,0.2814940141619865,946.7926267281106,0,0.10138248847926268,61.24884792626728,171,0.2916611806012727,0.35582438528040816,0.171631292398843,61.24884792626728,0.8245614035087719,0.3980835860717489,0.279788821318176,-0.7241625181551686,0.12440743947338469,0.3197797073672013,77.07175040641211,0.6802202926327987,0.1546583361671583,0,0.1810134276127113,234.63737319450576,0.012440743947338467,0.3380952380952381,0.00037688492485563,-15.762257828545408,0,10.85,0.0431920690887848,0.3202416985483354,0.9870223940834428
Calibration - Participation Dynamics-voting_activity=0_35_participation_target_rate=0-run-001,voting_activity=0.35_participation_target_rate=0,701,17091,0.7942583732057417,0.3132795849481855,11298.212356616577,3.105336371053223,210,213,1,0.24562398611770747,1035.6650717703349,0,0.20574162679425836,58.92344497607655,165,0.27531857813547955,0.334016588364944,0.2301488556401787,57.816901408450704,0.896969696969697,0.31388897093219004,0.2398843238162946,-0.7435821980321753,0.0937148444048919,0.419105744540035,102.31355752315604,0.580894255459965,0.26039930590868243,0.09859154929577464,0.24132922538263055,218.5060576635457,0.027683070932924422,0.2523809523809524,-0.00018343612510620592,-13.084496458989836,0,10.65,0.03280139746241386,0.41868135418264885,0.9767259678251667
Calibration - Participation Dynamics-voting_activity=0_35_participation_target_rate=0_15-run-001,voting_activity=0.35_participation_target_rate=0.15,801,13944,0.9109947643979057,0.37463892073787325,12027.653420245482,182.26743429092826,210,193,1,0.2955564798265431,1000.5549738219895,0,0.08900523560209424,67.18324607329843,163,0.316604983962497,0.32956299726873295,0.22167627687063712,66.48704663212435,0.9079754601226994,0.37500224619070793,0.24595202470789831,-0.6895738379004795,0.09801753295894074,0.39412182200499013,97.82228581298855,0.6058781779950099,0.24884052357304068,0.11917098445595854,0.22092422305445972,242.70729259440108,0.02708566581467175,0.2761904761904762,-0.0002384286687282642,-10.224900704074416,0,9.65,0.03581271451121262,0.3945651839470601,0.9754624754055679
Calibration - Participation Dynamics-voting_activity=0_35_participation_target_rate=0_25-run-001,voting_activity=0.35_participation_target_rate=0.25,901,12585,0.9064039408866995,0.36555316698103485,12029.838551245988,2.538893217239358,210,207,1,0.29993258068061535,1031.28078817734,0,0.09359605911330049,69.27093596059113,166,0.3234874626178976,0.3305538059342639,0.2225108348029958,67.93236714975845,0.891566265060241,0.36611892485794895,0.22663662453668348,-0.6896051629792074,0.09347545381268556,0.42050399588611304,102.57558249470941,0.579496004113887,0.2494246775759357,0.1111111111111111,0.22775794093178575,305.15600445863123,0.028708250297239318,0.24761904761904763,-0.00011437920700024354,-13.779329540144182,0,10.35,0.0371610708730818,0.4200800442671653,0.9766477831873461
Calibration - Participation Dynamics-voting_activity=0_15_participation_target_rate=0-run-002,voting_activity=0.15_participation_target_rate=0,102,13923,0.7135135135135136,0.2049414001927907,10914.555759070368,1.1292160469511445,210,191,0.9895287958115183,0.2696978576193465,976.8810810810811,0,0.2864864864864865,39.81621621621622,176,0.1836449763151334,0.3543656180908421,0.2187134310293312,38.56544502617801,0.8409090909090909,0.20580917493354564,0.24817508222773701,-0.7260831394751689,0.09412272997037445,0.41787880607024935,101.87017659614725,0.5821211939297506,0.2279646299793229,0.12041884816753927,0.2370758738234958,104.89951200445668,0.027104838971132382,0.2523809523809524,-0.0002485855839456959,-12.145504008897076,0,9.55,0.01903734868135297,0.41787755050276587,0.9740355454639973
