run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Average Turnout,Final Treasury,Final Token Price,Final Member Count,Total Proposals,Quorum Reach Rate,Avg Margin of Victory,Avg Time to Decision,Proposal Abandonment Rate,Proposal Rejection Rate,Governance Overhead,Unique Voter Count,Voter Participation Rate,Voter Concentration Gini,Delegate Concentration,Avg Votes Per Proposal,Voter Retention Rate,Voting Power Utilization,Treasury Volatility,Treasury Growth Rate,Staking Participation,Token Concentration Gini,Avg Member Wealth,Wealth Mobility,Whale Influence,Whale Proposal Rate,Governance Capture Risk,Vote Buying Vulnerability,Single Entity Control,Collusion Threshold,Participation Trend,Treasury Trend,Member Growth Rate,Proposal Rate,Governance Activity Index,Final Gini,Final Reputation Gini
Academic Baseline-run-001,,42,18880,0.9024390243902439,0.23825308859406277,12051.819545028882,4.780827188977581,405,42,1,0.39224765057096567,983.3170731707318,0,0.0975609756097561,70.07317073170732,326,0.22717759680738117,0.4257739415957542,0.2681314552947726,68.4047619047619,0.8858267716535433,0.17546662959706863,0.232097960520206,-0.6890318582655032,0.08854959813765458,0.405357504468057,112.58232670781437,0.5946424955319429,0.26686912071784935,0.6904761904761905,0.27619254081276234,220.64281822246545,0.020430087987301178,0.35555555555555557,0.002262285710016598,-10.250395702727523,0.9285714285714286,2.1,0.003597065906739908,0.4052261730896374,0.9871555533849001
Academic Baseline-run-002,,43,21778,0.9795918367346939,0.21832284206773583,12049.584647441096,6.736282165515849,405,50,1,0.5679537194117794,938.9591836734694,0,0.02040816326530612,75.6734693877551,318,0.2423872553837634,0.41296408442355326,0.2662693460576367,74.16,0.9198473282442748,0.16525680449442307,0.20728641250465712,-0.6890597081776186,0.0673553876367044,0.5000319008820059,133.4657243712546,0.4999680991179941,0.2762606238426283,0.64,0.26864108601757875,0,0.01812762396443659,0.31851851851851853,0.001901429830651617,-9.125827540153171,0.9285714285714286,2.5,0.004048791710113364,0.49996387649723095,0.9801289990026647
Academic Baseline-run-003,,44,21443,0.9782608695652174,0.21160537279462777,12053.52011839624,1.1278195744844526,405,47,1,0.5478917231577194,899.695652173913,0,0.021739130434782608,73.71739130434783,315,0.2342695919443061,0.41939702690303543,0.25341381795686363,72.14893617021276,0.9518072289156626,0.16596559937301159,0.212478960342701,-0.6890150138760619,0.06722224222561396,0.4808392218914076,125.9302882209717,0.5191607781085924,0.26815484502166465,0.723404255319149,0.25740436640490305,53.78149889861811,0.019113422421452832,0.32839506172839505,0.0021590889859900036,-9.405779067978006,0.9285714285714286,2.35,0.0038172087855792656,0.4804774686121869,0.9828737846734801
Academic Baseline-run-004,,45,20482,0.9833333333333333,0.23313676113318849,10623.598065000877,0.9806851096953154,405,61,1,0.4137474767459029,1023.5666666666667,0,0.016666666666666666,73.66666666666667,332,0.23991411824166253,0.4145030387267326,0.2717545001063323,72.45901639344262,0.9214876033057852,0.17088345850499512,0.22026992087818378,-0.7109265440217256,0.07579321697650426,0.4657219675507634,125.69811832954869,0.5342780324492367,0.27249265599957206,0.819672131147541,0.2657849249332526,221.54409401399596,0.01863384398114923,0.3333333333333333,0.0020474239412138235,-12.324797629894423,0.9285714285714286,3.05,0.005126503755149853,0.4655975515795705,0.9900607451093693
Academic Baseline-run-005,,46,18447,1,0.23067757175481376,11765.394560912817,1.0454744846257251,405,52,1,0.5505351216209364,931.0816326530612,0,0,75.79591836734694,332,0.2310408385452911,0.4087509356376074,0.2701888638877178,71.42307692307692,0.9045801526717557,0.1735446358947375,0.2383365621394596,-0.7293689224441556,0.09078945447253085,0.4431167555091703,121.06181671485687,0.5568832444908297,0.26733678385277343,0.75,0.2721930277935699,248.37130212172974,0.020083547135626528,0.33827160493827163,0.0018718808467487278,-9.235247295419425,0.9285714285714286,2.6,0.004251843579421069,0.44318583089814134,0.9796707211937148
Academic Baseline-run-006,,47,17111,0.975,0.22926608614229482,12048.40239211559,26.360351789703675,405,40,1,0.5748498788616938,912.375,0,0.025,70.425,314,0.2299816303157387,0.4339061056521374,0.28495053884103183,70.425,0.9300411522633745,0.1722594842873609,0.23304311827155094,-0.6889930097188964,0.08180392198500708,0.4605892280906512,121.88416199878343,0.5394107719093488,0.2971682504626596,0.9,0.2893125305751981,106.94204917861725,0.01865513645559823,0.3333333333333333,0.002076452222920152,-11.043845275968483,0.9285714285714286,2,0.0034451896857472172,0.4605852457750903,0.9851918941419182
Academic Baseline-run-007,,48,21559,1,0.22428044765993477,10802.891550107102,1.2594661990386804,405,51,0.9803921568627451,0.5147064415550883,923.52,0,0,73.98,323,0.23683028162233388,0.40613202734414855,0.2694183610257794,72.52941176470588,0.9227799227799228,0.16400014491289344,0.1964817682435733,-0.7233721819819315,0.06430821271941611,0.4829610800165634,132.18173352673088,0.5170389199834367,0.26790434536972413,0.8431372549019608,0.2648560635975139,328.4305865277736,0.01757452730068993,0.32592592592592595,0.0017366487760442297,-6.359873050048877,0.9285714285714286,2.55,0.004100003622822336,0.4831544218170447,0.9795981108790985
Academic Baseline-run-008,,49,19269,1,0.22070632888071165,12051.108782962352,2.3323643915831167,405,43,1,0.5967129883533421,956.525,0,0,72.45,327,0.21834003460522253,0.3999762659166696,0.24494508651272534,67.3953488372093,0.932806324110672,0.1559269168410948,0.25657264822364906,-0.7199284117264966,0.07928814962436818,0.4317265747693903,125.75393423615998,0.5682734252306096,0.2541761232888481,0.7209302325581395,0.2359988561089906,0,0.018427552319310952,0.34814814814814815,0.0026084303704107664,-10.896050950993976,0.9285714285714286,2.15,0.0031185383368218973,0.4315460886556868,0.984479299710926
Academic Baseline-run-009,,50,17035,1,0.22374061605363615,11001.578321159339,1.1628943619632055,405,46,1,0.5079957241465802,840.1111111111111,0,0,79.84444444444445,328,0.25032806466560137,0.39327345063779173,0.2718613828616653,78.1086956521739,0.9242424242424242,0.17775440028257328,0.23784329179795538,-0.737614209598814,0.09640810250282704,0.4671426012616498,135.09112981270061,0.5328573987383503,0.27624691599299955,0.9130434782608695,0.27946727827268986,0,0.018264698577553223,0.3333333333333333,0.0025548503149826684,-11.898189742211784,0.9285714285714286,2.3,0.0039994740063579,0.4669387609165876,0.9888742649965021
Academic Baseline-run-010,,51,14133,1,0.21488201230956017,12050.592909502797,3.500703171541576,405,42,1,0.5531591063303541,879.875,0,0,73.8,310,0.22768481200432994,0.446830280312139,0.27514129751105293,70.28571428571429,0.91015625,0.17049435171618718,0.2175219569535785,-0.6888992023833531,0.0838921300429032,0.465465601248805,125.14410185121761,0.534534398751195,0.2822958254085303,0.8809523809523809,0.2764726308598607,0,0.018813036786943942,0.3308641975308642,0.0018910379806967423,-11.982795750898903,0.9285714285714286,2.1,0.0034098870343237425,0.46527387281631505,0.9869852678290618
