run_id,sweep_value,seed,duration_ms,ecosystem.Inter-DAO Proposal Count,ecosystem.Inter-DAO Proposal Success Rate,ecosystem.Collaboration Proposal Rate,ecosystem.Treaty Proposal Rate,ecosystem.Resource Sharing Rate,ecosystem.Joint Venture Rate,ecosystem.Inter-DAO Voting Participation,ecosystem.Cross-DAO Approval Alignment,ecosystem.Total Shared Budget,ecosystem.Resource Flow Volume,ecosystem.Ecosystem Treasury Total,dao-1.Proposal Pass Rate,dao-2.Proposal Pass Rate,dao-3.Proposal Pass Rate,dao-1.Voter Participation Rate,dao-2.Voter Participation Rate,dao-3.Voter Participation Rate,dao-1.Final Treasury,dao-2.Final Treasury,dao-3.Final Treasury,dao-1.Treasury Growth Rate,dao-2.Treasury Growth Rate,dao-3.Treasury Growth Rate
Inter-DAO Cooperation-homogeneous-governance-run-001,homogeneous-governance,707,4204,50,0.12,0.26,0.3,0.3,0.14,103.31011121222302,0.58,119251.58424302936,0,23834.308464517206,0.8095238095238095,0.9285714285714286,0.5384615384615384,0.31991157534795495,0.3158347676419965,0.3873957367933271,11893.211208267208,11941.09725625,0,1.0446361319644109,1.0859164565372785,1.0525234285479481
Inter-DAO Cooperation-heterogeneous-governance-run-001,heterogeneous-governance,807,4507,67,0.16417910447761194,0.31343283582089554,0.22388059701492538,0.23880597014925373,0.22388059701492538,89.40680345737586,0.4626865671641791,171462.85789087415,22282.406592275947,31940.814685412573,,,,,,,,,,,,
Inter-DAO Cooperation-asymmetric-treasury-run-001,asymmetric-treasury,907,2868,46,0.21739130434782608,0.2391304347826087,0.30434782608695654,0.17391304347826086,0.2826086956521739,100.0804738312206,0.5869565217391305,104614.750277251,29463.292281143367,11923.244226606947,,,,,,,,,,,,
Inter-DAO Cooperation-specialized-daos-run-001,specialized-daos,1007,3324,85,0.2235294117647059,0.3411764705882353,0.2823529411764706,0.18823529411764706,0.18823529411764706,84.8718074747352,0.43529411764705883,397411.19673475623,45516.46316656843,21987.703597133062,,,,,,,,,,,,
Inter-DAO Cooperation-isolated-daos-run-001,isolated-daos,1107,2725,0,0,0,0,0,0,0,0,0,0,35796.83316154899,,,,,,,,,,,,
Inter-DAO Cooperation-homogeneous-governance-run-002,homogeneous-governance,708,3227,34,0.20588235294117646,0.3235294117647059,0.17647058823529413,0.20588235294117646,0.29411764705882354,83.00921370378984,0.5588235294117647,151812.74774484336,22842.82605512999,33909.87694540463,0.7619047619047619,0.8333333333333334,0.5,0.3246855015882345,0.34242232086239693,0.32420591456736036,10000,11951.770118064904,11958.106827339729,1.1277541586476776,1.1094785586219917,1.0667191389542383
Inter-DAO Cooperation-heterogeneous-governance-run-002,heterogeneous-governance,808,3820,53,0.1320754716981132,0.2830188679245283,0.22641509433962265,0.20754716981132076,0.2830188679245283,95.93606073256669,0.5094339622641509,139538.27489167452,12101.26553894952,21957.31374554407,,,,,,,,,,,,
Inter-DAO Cooperation-asymmetric-treasury-run-002,asymmetric-treasury,908,3066,55,0.14545454545454545,0.2,0.2545454545454545,0.32727272727272727,0.21818181818181817,98.4425897876594,0.5454545454545454,95980.07855005562,30722.346684196964,23845.61646718749,,,,,,,,,,,,
Inter-DAO Cooperation-specialized-daos-run-002,specialized-daos,1008,3397,74,0.16216216216216217,0.22972972972972974,0.2972972972972973,0.17567567567567569,0.2972972972972973,102.67963406455016,0.4864864864864865,285381.43118843436,27681.024816120043,23823.432069675313,,,,,,,,,,,,
Inter-DAO Cooperation-isolated-daos-run-002,isolated-daos,1108,2274,0,0,0,0,0,0,0,0,0,0,35776.483017596925,,,,,,,,,,,,
Inter-DAO Cooperation-homogeneous-governance-run-003,homogeneous-governance,709,2903,60,0.21666666666666667,0.25,0.26666666666666666,0.18333333333333332,0.3,85.65281307016983,0.65,244393.7641195953,0,33844.02470129938,0.7647058823529411,0.7333333333333333,0.6363636363636364,0.36073706591070165,0.34779116465863447,0.38882803943044913,11916.594915624999,9996.512480870908,11930.91730480347,1.067462575934791,1.140729519200786,1.094027914642987
Inter-DAO Cooperation-heterogeneous-governance-run-003,heterogeneous-governance,809,2849,55,0.2727272727272727,0.12727272727272726,0.2545454545454545,0.34545454545454546,0.2727272727272727,102.02545994619723,0.5454545454545454,129935.78135035932,73968.07371638715,23850.908234055867,,,,,,,,,,,,
