sweep_value,run_count,ecosystem.Inter-DAO Proposal Count_mean,ecosystem.Inter-DAO Proposal Count_median,ecosystem.Inter-DAO Proposal Count_std,ecosystem.Inter-DAO Proposal Count_se,ecosystem.Inter-DAO Proposal Count_ci95_lower,ecosystem.Inter-DAO Proposal Count_ci95_upper,ecosystem.Inter-DAO Proposal Count_bootstrap_ci95_lower,ecosystem.Inter-DAO Proposal Count_bootstrap_ci95_upper,ecosystem.Inter-DAO Proposal Count_min,ecosystem.Inter-DAO Proposal Count_max,ecosystem.Inter-DAO Proposal Count_iqr,ecosystem.Inter-DAO Proposal Count_cv,ecosystem.Inter-DAO Proposal Success Rate_mean,ecosystem.Inter-DAO Proposal Success Rate_median,ecosystem.Inter-DAO Proposal Success Rate_std,ecosystem.Inter-DAO Proposal Success Rate_se,ecosystem.Inter-DAO Proposal Success Rate_ci95_lower,ecosystem.Inter-DAO Proposal Success Rate_ci95_upper,ecosystem.Inter-DAO Proposal Success Rate_bootstrap_ci95_lower,ecosystem.Inter-DAO Proposal Success Rate_bootstrap_ci95_upper,ecosystem.Inter-DAO Proposal Success Rate_min,ecosystem.Inter-DAO Proposal Success Rate_max,ecosystem.Inter-DAO Proposal Success Rate_iqr,ecosystem.Inter-DAO Proposal Success Rate_cv,ecosystem.Collaboration Proposal Rate_mean,ecosystem.Collaboration Proposal Rate_median,ecosystem.Collaboration Proposal Rate_std,ecosystem.Collaboration Proposal Rate_se,ecosystem.Collaboration Proposal Rate_ci95_lower,ecosystem.Collaboration Proposal Rate_ci95_upper,ecosystem.Collaboration Proposal Rate_bootstrap_ci95_lower,ecosystem.Collaboration Proposal Rate_bootstrap_ci95_upper,ecosystem.Collaboration Proposal Rate_min,ecosystem.Collaboration Proposal Rate_max,ecosystem.Collaboration Proposal Rate_iqr,ecosystem.Collaboration Proposal Rate_cv,ecosystem.Treaty Proposal Rate_mean,ecosystem.Treaty Proposal Rate_median,ecosystem.Treaty Proposal Rate_std,ecosystem.Treaty Proposal Rate_se,ecosystem.Treaty Proposal Rate_ci95_lower,ecosystem.Treaty Proposal Rate_ci95_upper,ecosystem.Treaty Proposal Rate_bootstrap_ci95_lower,ecosystem.Treaty Proposal Rate_bootstrap_ci95_upper,ecosystem.Treaty Proposal Rate_min,ecosystem.Treaty Proposal Rate_max,ecosystem.Treaty Proposal Rate_iqr,ecosystem.Treaty Proposal Rate_cv,ecosystem.Resource Sharing Rate_mean,ecosystem.Resource Sharing Rate_median,ecosystem.Resource Sharing Rate_std,ecosystem.Resource Sharing Rate_se,ecosystem.Resource Sharing Rate_ci95_lower,ecosystem.Resource Sharing Rate_ci95_upper,ecosystem.Resource Sharing Rate_bootstrap_ci95_lower,ecosystem.Resource Sharing Rate_bootstrap_ci95_upper,ecosystem.Resource Sharing Rate_min,ecosystem.Resource Sharing Rate_max,ecosystem.Resource Sharing Rate_iqr,ecosystem.Resource Sharing Rate_cv,ecosystem.Joint Venture Rate_mean,ecosystem.Joint Venture Rate_median,ecosystem.Joint Venture Rate_std,ecosystem.Joint Venture Rate_se,ecosystem.Joint Venture Rate_ci95_lower,ecosystem.Joint Venture Rate_ci95_upper,ecosystem.Joint Venture Rate_bootstrap_ci95_lower,ecosystem.Joint Venture Rate_bootstrap_ci95_upper,ecosystem.Joint Venture Rate_min,ecosystem.Joint Venture Rate_max,ecosystem.Joint Venture Rate_iqr,ecosystem.Joint Venture Rate_cv,ecosystem.Inter-DAO Voting Participation_mean,ecosystem.Inter-DAO Voting Participation_median,ecosystem.Inter-DAO Voting Participation_std,ecosystem.Inter-DAO Voting Participation_se,ecosystem.Inter-DAO Voting Participation_ci95_lower,ecosystem.Inter-DAO Voting Participation_ci95_upper,ecosystem.Inter-DAO Voting Participation_bootstrap_ci95_lower,ecosystem.Inter-DAO Voting Participation_bootstrap_ci95_upper,ecosystem.Inter-DAO Voting Participation_min,ecosystem.Inter-DAO Voting Participation_max,ecosystem.Inter-DAO Voting Participation_iqr,ecosystem.Inter-DAO Voting Participation_cv,ecosystem.Cross-DAO Approval Alignment_mean,ecosystem.Cross-DAO Approval Alignment_median,ecosystem.Cross-DAO Approval Alignment_std,ecosystem.Cross-DAO Approval Alignment_se,ecosystem.Cross-DAO Approval Alignment_ci95_lower,ecosystem.Cross-DAO Approval Alignment_ci95_upper,ecosystem.Cross-DAO Approval Alignment_bootstrap_ci95_lower,ecosystem.Cross-DAO Approval Alignment_bootstrap_ci95_upper,ecosystem.Cross-DAO Approval Alignment_min,ecosystem.Cross-DAO Approval Alignment_max,ecosystem.Cross-DAO Approval Alignment_iqr,ecosystem.Cross-DAO Approval Alignment_cv,ecosystem.Total Shared Budget_mean,ecosystem.Total Shared Budget_median,ecosystem.Total Shared Budget_std,ecosystem.Total Shared Budget_se,ecosystem.Total Shared Budget_ci95_lower,ecosystem.Total Shared Budget_ci95_upper,ecosystem.Total Shared Budget_bootstrap_ci95_lower,ecosystem.Total Shared Budget_bootstrap_ci95_upper,ecosystem.Total Shared Budget_min,ecosystem.Total Shared Budget_max,ecosystem.Total Shared Budget_iqr,ecosystem.Total Shared Budget_cv,ecosystem.Resource Flow Volume_mean,ecosystem.Resource Flow Volume_median,ecosystem.Resource Flow Volume_std,ecosystem.Resource Flow Volume_se,ecosystem.Resource Flow Volume_ci95_lower,ecosystem.Resource Flow Volume_ci95_upper,ecosystem.Resource Flow Volume_bootstrap_ci95_lower,ecosystem.Resource Flow Volume_bootstrap_ci95_upper,ecosystem.Resource Flow Volume_min,ecosystem.Resource Flow Volume_max,ecosystem.Resource Flow Volume_iqr,ecosystem.Resource Flow Volume_cv,ecosystem.Ecosystem Treasury Total_mean,ecosystem.Ecosystem Treasury Total_median,ecosystem.Ecosystem Treasury Total_std,ecosystem.Ecosystem Treasury Total_se,ecosystem.Ecosystem Treasury Total_ci95_lower,ecosystem.Ecosystem Treasury Total_ci95_upper,ecosystem.Ecosystem Treasury Total_bootstrap_ci95_lower,ecosystem.Ecosystem Treasury Total_bootstrap_ci95_upper,ecosystem.Ecosystem Treasury Total_min,ecosystem.Ecosystem Treasury Total_max,ecosystem.Ecosystem Treasury Total_iqr,ecosystem.Ecosystem Treasury Total_cv,dao-1.Proposal Pass Rate_mean,dao-1.Proposal Pass Rate_median,dao-1.Proposal Pass Rate_std,dao-1.Proposal Pass Rate_se,dao-1.Proposal Pass Rate_ci95_lower,dao-1.Proposal Pass Rate_ci95_upper,dao-1.Proposal Pass Rate_bootstrap_ci95_lower,dao-1.Proposal Pass Rate_bootstrap_ci95_upper,dao-1.Proposal Pass Rate_min,dao-1.Proposal Pass Rate_max,dao-1.Proposal Pass Rate_iqr,dao-1.Proposal Pass Rate_cv,dao-2.Proposal Pass Rate_mean,dao-2.Proposal Pass Rate_median,dao-2.Proposal Pass Rate_std,dao-2.Proposal Pass Rate_se,dao-2.Proposal Pass Rate_ci95_lower,dao-2.Proposal Pass Rate_ci95_upper,dao-2.Proposal Pass Rate_bootstrap_ci95_lower,dao-2.Proposal Pass Rate_bootstrap_ci95_upper,dao-2.Proposal Pass Rate_min,dao-2.Proposal Pass Rate_max,dao-2.Proposal Pass Rate_iqr,dao-2.Proposal Pass Rate_cv,dao-3.Proposal Pass Rate_mean,dao-3.Proposal Pass Rate_median,dao-3.Proposal Pass Rate_std,dao-3.Proposal Pass Rate_se,dao-3.Proposal Pass Rate_ci95_lower,dao-3.Proposal Pass Rate_ci95_upper,dao-3.Proposal Pass Rate_bootstrap_ci95_lower,dao-3.Proposal Pass Rate_bootstrap_ci95_upper,dao-3.Proposal Pass Rate_min,dao-3.Proposal Pass Rate_max,dao-3.Proposal Pass Rate_iqr,dao-3.Proposal Pass Rate_cv,dao-1.Voter Participation Rate_mean,dao-1.Voter Participation Rate_median,dao-1.Voter Participation Rate_std,dao-1.Voter Participation Rate_se,dao-1.Voter Participation Rate_ci95_lower,dao-1.Voter Participation Rate_ci95_upper,dao-1.Voter Participation Rate_bootstrap_ci95_lower,dao-1.Voter Participation Rate_bootstrap_ci95_upper,dao-1.Voter Participation Rate_min,dao-1.Voter Participation Rate_max,dao-1.Voter Participation Rate_iqr,dao-1.Voter Participation Rate_cv,dao-2.Voter Participation Rate_mean,dao-2.Voter Participation Rate_median,dao-2.Voter Participation Rate_std,dao-2.Voter Participation Rate_se,dao-2.Voter Participation Rate_ci95_lower,dao-2.Voter Participation Rate_ci95_upper,dao-2.Voter Participation Rate_bootstrap_ci95_lower,dao-2.Voter Participation Rate_bootstrap_ci95_upper,dao-2.Voter Participation Rate_min,dao-2.Voter Participation Rate_max,dao-2.Voter Participation Rate_iqr,dao-2.Voter Participation Rate_cv,dao-3.Voter Participation Rate_mean,dao-3.Voter Participation Rate_median,dao-3.Voter Participation Rate_std,dao-3.Voter Participation Rate_se,dao-3.Voter Participation Rate_ci95_lower,dao-3.Voter Participation Rate_ci95_upper,dao-3.Voter Participation Rate_bootstrap_ci95_lower,dao-3.Voter Participation Rate_bootstrap_ci95_upper,dao-3.Voter Participation Rate_min,dao-3.Voter Participation Rate_max,dao-3.Voter Participation Rate_iqr,dao-3.Voter Participation Rate_cv,dao-1.Final Treasury_mean,dao-1.Final Treasury_median,dao-1.Final Treasury_std,dao-1.Final Treasury_se,dao-1.Final Treasury_ci95_lower,dao-1.Final Treasury_ci95_upper,dao-1.Final Treasury_bootstrap_ci95_lower,dao-1.Final Treasury_bootstrap_ci95_upper,dao-1.Final Treasury_min,dao-1.Final Treasury_max,dao-1.Final Treasury_iqr,dao-1.Final Treasury_cv,dao-2.Final Treasury_mean,dao-2.Final Treasury_median,dao-2.Final Treasury_std,dao-2.Final Treasury_se,dao-2.Final Treasury_ci95_lower,dao-2.Final Treasury_ci95_upper,dao-2.Final Treasury_bootstrap_ci95_lower,dao-2.Final Treasury_bootstrap_ci95_upper,dao-2.Final Treasury_min,dao-2.Final Treasury_max,dao-2.Final Treasury_iqr,dao-2.Final Treasury_cv,dao-3.Final Treasury_mean,dao-3.Final Treasury_median,dao-3.Final Treasury_std,dao-3.Final Treasury_se,dao-3.Final Treasury_ci95_lower,dao-3.Final Treasury_ci95_upper,dao-3.Final Treasury_bootstrap_ci95_lower,dao-3.Final Treasury_bootstrap_ci95_upper,dao-3.Final Treasury_min,dao-3.Final Treasury_max,dao-3.Final Treasury_iqr,dao-3.Final Treasury_cv,dao-1.Treasury Growth Rate_mean,dao-1.Treasury Growth Rate_median,dao-1.Treasury Growth Rate_std,dao-1.Treasury Growth Rate_se,dao-1.Treasury Growth Rate_ci95_lower,dao-1.Treasury Growth Rate_ci95_upper,dao-1.Treasury Growth Rate_bootstrap_ci95_lower,dao-1.Treasury Growth Rate_bootstrap_ci95_upper,dao-1.Treasury Growth Rate_min,dao-1.Treasury Growth Rate_max,dao-1.Treasury Growth Rate_iqr,dao-1.Treasury Growth Rate_cv,dao-2.Treasury Growth Rate_mean,dao-2.Treasury Growth Rate_median,dao-2.Treasury Growth Rate_std,dao-2.Treasury Growth Rate_se,dao-2.Treasury Growth Rate_ci95_lower,dao-2.Treasury Growth Rate_ci95_upper,dao-2.Treasury Growth Rate_bootstrap_ci95_lower,dao-2.Treasury Growth Rate_bootstrap_ci95_upper,dao-2.Treasury Growth Rate_min,dao-2.Treasury Growth Rate_max,dao-2.Treasury Growth Rate_iqr,dao-2.Treasury Growth Rate_cv,dao-3.Treasury Growth Rate_mean,dao-3.Treasury Growth Rate_median,dao-3.Treasury Growth Rate_std,dao-3.Treasury Growth Rate_se,dao-3.Treasury Growth Rate_ci95_lower,dao-3.Treasury Growth Rate_ci95_upper,dao-3.Treasury Growth Rate_bootstrap_ci95_lower,dao-3.Treasury Growth Rate_bootstrap_ci95_upper,dao-3.Treasury Growth Rate_min,dao-3.Treasury Growth Rate_max,dao-3.Treasury Growth Rate_iqr,dao-3.Treasury Growth Rate_cv
homogeneous-governance,30,47.633333,48,6.105302,1.114671,45.353576,49.913091,0,0,37,63,7.750000,0.128173,0.228400,0.215686,0.100870,0.018416,0.190734,0.266065,0,0,0.093023,0.477273,0.142048,0.441638,0.237258,0.238421,0.048582,0.008870,0.219118,0.255399,0,0,0.136364,0.316667,0.069697,0.204762,0.248561,0.244671,0.052685,0.009619,0.228888,0.268234,0,0,0.121951,0.354167,0.065501,0.211961,0.256705,0.258859,0.042056,0.007678,0.241001,0.272409,0,0,0.176471,0.342105,0.064525,0.163832,0.257476,0.259526,0.063143,0.011528,0.233898,0.281054,0,0,0.116279,0.392157,0.089982,0.245237,112.792044,112.927509,6.039480,1.102653,110.536865,115.047223,109.827244,113.818013,93.608883,121.282709,7.112892,0.053545,0.560603,0.549020,0.071385,0.013033,0.533948,0.587259,0.526017,0.577440,0.437500,0.780488,0.077622,0.127336,167043.917648,164411.292542,91053.911431,16624.093747,133043.828363,201044.006932,0,0,30821.326356,364096.118435,121860.160180,0.545090,31151.339917,32373.313032,19781.724273,3611.632204,23764.722682,38537.957152,0,0,0,70088.387770,26118.205230,0.635020,24120.928326,23837.648733,5617.977318,1025.697635,22023.141121,26218.715532,0,0,11941.768762,33930.341180,1970.462589,0.232909,0.705108,0.741667,0.168624,0.030786,0.642143,0.768073,0,0,0.250000,1,0.225000,0.239146,0.715943,0.750000,0.234799,0.042868,0.628267,0.803618,0.625833,0.795185,0,1,0.189394,0.327958,0.765244,0.750000,0.152548,0.027851,0.708281,0.822206,0,0,0.400000,1,0.184524,0.199346,0.287697,0.286001,0.024146,0.004408,0.278680,0.296713,0,0,0.249563,0.333435,0.035358,0.083927,0.292728,0.284148,0.039477,0.007207,0.277987,0.307469,0.280516,0.305290,0.228767,0.415929,0.036956,0.134858,0.288688,0.289161,0.027005,0.004931,0.278604,0.298772,0,0,0.213827,0.367338,0.019566,0.093545,7766.815272,11897.883621,5615.577604,1025.259509,5669.924134,9863.706409,0,0,0,11995.528596,11944.679943,0.723022,7781.767879,10004.190817,5244.045535,957.427344,5823.609096,9739.926662,0,0,0,11989.947915,11938.760033,0.673889,8572.345176,10030.777950,4882.545255,891.426725,6749.172816,10395.517536,6440.287093,9843.118083,0,11981.154372,1932.145509,0.569569,1.410835,1.402381,0.033199,0.006061,1.398439,1.423232,1.400165,1.425416,1.377786,1.535384,0.026766,0.023531,1.408283,1.392916,0.036911,0.006739,1.394500,1.422066,1.399042,1.427349,1.371298,1.536821,0.040351,0.026210,1.410948,1.404336,0.030193,0.005512,1.399674,1.422222,1.399952,1.422555,1.374208,1.502892,0.023338,0.021399
heterogeneous-governance,30,50.800000,52,6.794521,1.240504,48.262884,53.337116,0,0,36,63,8,0.133750,0.230745,0.243190,0.071845,0.013117,0.203918,0.257573,0,0,0.090909,0.365854,0.108404,0.311359,0.262774,0.249914,0.065596,0.011976,0.238280,0.287268,0,0,0.148936,0.382979,0.098440,0.249630,0.249460,0.249611,0.051962,0.009487,0.230057,0.268863,0,0,0.128205,0.340426,0.078725,0.208298,0.240471,0.229420,0.071598,0.013072,0.213736,0.267206,0,0,0.083333,0.387755,0.071293,0.297741,0.247294,0.232946,0.073118,0.013349,0.219992,0.274597,0,0,0.102041,0.386364,0.097602,0.295672,109.555807,109.666213,5.479792,1.000469,107.509619,111.601995,0,0,98.948181,118.748899,7.436710,0.050018,0.549134,0.540064,0.059009,0.010774,0.527100,0.571169,0,0,0.460000,0.679245,0.068045,0.107459,171647.435931,157582.782605,72236.628600,13188.543654,144673.835529,198621.036333,0,0,44651.732082,361968.292007,112263.392631,0.420843,37151.675189,33424.606200,22622.458815,4130.277000,28704.310244,45599.040134,0,0,0,105417.114636,28541.097929,0.608922,24598.565342,23869.515757,6309.792446,1152.005219,22242.450122,26954.680562,0,0,9999.999939,33915.072798,6741.920657,0.256511,0.746085,0.750000,0.120949,0.022082,0.700922,0.791248,0,0,0.500000,1,0.166667,0.162112,0.746705,0.763889,0.159144,0.029056,0.687280,0.806131,0,0,0.500000,1,0.257143,0.213128,0.875535,0.894444,0.136968,0.025007,0.824390,0.926680,0.792500,0.901305,0.500000,1,0.195455,0.156440,0.291223,0.288843,0.025196,0.004600,0.281814,0.300631,0,0,0.247847,0.365715,0.032336,0.086519,0.293730,0.291171,0.028648,0.005230,0.283033,0.304428,0,0,0.224087,0.361950,0.035094,0.097530,0.286949,0.282123,0.021225,0.003875,0.279023,0.294874,0,0,0.248055,0.341634,0.027961,0.073968,7713.199771,10000,5200.507192,949.478366,5771.298472,9655.101069,0,0,0,11973.888612,11915.688757,0.674235,8488.227940,11906.033282,5244.452497,957.501645,6529.917195,10446.538685,5852.778632,9630.705199,0,11993.180403,9428.316443,0.617850,8397.137632,11882.671550,5126.040858,935.882736,6483.042519,10311.232744,5836.444999,9688.094428,0,11972.475378,8624.986521,0.610451,1.408718,1.396892,0.029740,0.005430,1.397612,1.419823,1.397957,1.417912,1.380794,1.491774,0.031024,0.021111,1.411796,1.405459,0.025808,0.004712,1.402159,1.421433,1.403356,1.419634,1.382360,1.477723,0.025753,0.018280,1.418285,1.411101,0.037661,0.006876,1.404222,1.432348,1.402330,1.424367,1.378241,1.532472,0.039013,0.026554
asymmetric-treasury,30,49.233333,50,7.430985,1.356706,46.458558,52.008109,0,0,35,62,12.250000,0.150934,0.233775,0.232350,0.075917,0.013860,0.205427,0.262123,0,0,0.048387,0.472222,0.084903,0.324742,0.248395,0.257604,0.064424,0.011762,0.224338,0.272451,0,0,0.150000,0.367347,0.096179,0.259362,0.260896,0.241279,0.070770,0.012921,0.234470,0.287323,0,0,0.163265,0.433333,0.127473,0.271258,0.271127,0.282392,0.063906,0.011668,0.247264,0.294990,0,0,0.121951,0.431034,0.085760,0.235706,0.219582,0.218089,0.051641,0.009428,0.200299,0.238865,0,0,0.113208,0.333333,0.062774,0.235178,116.536206,116.262512,4.707723,0.859509,114.778313,118.294098,0,0,104.032443,127.345671,5.844303,0.040397,0.564262,0.553381,0.063831,0.011654,0.540427,0.588097,0,0,0.461538,0.707317,0.077746,0.113123,163256.600985,160175.808459,44389.853865,8104.441429,146681.157151,179832.044818,0,0,49079.577848,247696.029749,40970.947004,0.271902,42532.632532,38917.086262,23735.247476,4333.443484,33669.745472,51395.519592,0,0,0,97368.775160,26330.622659,0.558048,25119.615122,23902.952783,6349.706287,1159.292456,22748.595829,27490.634414,0,0,11951.301519,33963.471415,9459.769078,0.252779,0.739803,0.741667,0.141489,0.025832,0.686970,0.792635,0,0,0.375000,1,0.162879,0.191252,0.680167,0.666667,0.235726,0.043038,0.592145,0.768189,0,0,0,1,0.273810,0.346571,0.622778,0.666667,0.292111,0.053332,0.513702,0.731854,0,0,0,1,0.300000,0.469046,0.291226,0.289143,0.030398,0.005550,0.279875,0.302577,0.281800,0.305158,0.235530,0.399899,0.028424,0.104381,0.286455,0.291577,0.022629,0.004131,0.278005,0.294905,0,0,0.239391,0.333121,0.030715,0.078996,0.288691,0.301256,0.064285,0.011737,0.264686,0.312695,0.254247,0.306094,0,0.359379,0.050110,0.222679,11661.446399,11919.575420,666.936083,121.765312,11412.408372,11910.484425,11527.719094,11915.327406,10000,11997.818731,53.727989,0.057192,8926.343804,11927.461378,4779.506624,872.614531,7141.646701,10711.040907,7753.055691,10984.122663,0,11996.033501,1959.661603,0.535438,4531.824919,0,5299.370863,967.528321,2553.007319,6510.642519,0,0,0,11977.693750,10000.000000,1.169368,1.427646,1.412644,0.057111,0.010427,1.406321,1.448972,1.404151,1.441019,1.378846,1.673602,0.032585,0.040004,1.402934,1.403017,0.022681,0.004141,1.394464,1.411403,0,0,1.365602,1.446052,0.030035,0.016167,1.381970,1.377742,0.018077,0.003300,1.375220,1.388720,1.374226,1.386542,1.359793,1.432351,0.013573,0.013080
specialized-daos,30,74.300000,74,8.200715,1.497239,71.237803,77.362197,0,0,61,87,14,0.110373,0.221023,0.211608,0.050515,0.009223,0.202161,0.239886,0,0,0.135135,0.337349,0.071302,0.228550,0.240065,0.242104,0.047314,0.008638,0.222398,0.257732,0,0,0.140625,0.316456,0.072383,0.197087,0.242871,0.240669,0.038817,0.007087,0.228377,0.257366,0,0,0.190476,0.316456,0.052458,0.159826,0.251201,0.253173,0.050016,0.009132,0.232525,0.269877,0,0,0.147059,0.362500,0.060046,0.199108,0.265863,0.255189,0.052249,0.009539,0.246352,0.285373,0,0,0.174603,0.390625,0.066540,0.196528,125.949199,127.381447,9.516218,1.737416,122.395785,129.502613,123.172015,128.776304,90.054938,139.162312,8.991931,0.075556,0.551421,0.542017,0.066154,0.012078,0.526719,0.576123,0,0,0.426471,0.738095,0.089431,0.119971,248612.734790,229356.464311,88780.588397,16209.043645,215461.518277,281763.951303,232227.891737,298047.120084,109521.245798,479139.365973,79427.574133,0.357104,55546.441763,62168.552170,29363.886874,5361.087739,44581.786212,66511.097315,0,0,0,107047.027817,51863.247164,0.528637,27712.076555,31924.717865,7554.287984,1379.217978,24891.259064,30532.894045,0,0,10070.654038,35749.528959,11872.317231,0.272599,0.754665,0.732143,0.175458,0.032034,0.689148,0.820181,0,0,0.400000,1,0.339286,0.232497,0.677617,0.666667,0.104610,0.019099,0.638555,0.716679,0,0,0.437500,0.875000,0.159661,0.154379,0.655873,0.666667,0.257548,0.047022,0.559703,0.752043,0,0,0.200000,1,0.300000,0.392679,0.296104,0.293882,0.033374,0.006093,0.283642,0.308566,0,0,0.208791,0.391495,0.038434,0.112709,0.294080,0.294379,0.016884,0.003083,0.287775,0.300384,0.287397,0.297655,0.248095,0.321597,0.018474,0.057414,0.259510,0.254219,0.024800,0.004528,0.250250,0.268770,0,0,0.222516,0.324077,0.028848,0.095563,9110.290374,10010.724700,4238.621773,773.862919,7527.562994,10693.017755,7452.638348,10633.359414,0,11973.926351,1927.743382,0.465256,9486.577465,11873.383874,4385.682959,800.712496,7848.936536,11124.218395,7956.877233,11004.295623,0,11993.064003,1912.517811,0.462304,9115.208715,10024.534491,4241.372042,774.365047,7531.454367,10698.963063,8046.411233,10773.208009,0,11989.671857,1936.480210,0.465307,1.405624,1.398489,0.022036,0.004023,1.397396,1.413853,0,0,1.377278,1.451847,0.027972,0.015677,1.492352,1.474431,0.105686,0.019296,1.452889,1.531816,1.462665,1.524731,1.387677,1.909330,0.133491,0.070818,1.396218,1.391982,0.015958,0.002914,1.390259,1.402177,1.393490,1.405821,1.379025,1.440462,0.013642,0.011430
isolated-daos,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35745.523887,35816.031800,364.285888,66.509199,35609.497301,35881.550473,35501.818200,35838.179658,33879.293997,35913.394950,68.679914,0.010191,0.737738,0.777778,0.166528,0.030404,0.675556,0.799921,0,0,0.333333,1,0.215774,0.225727,0.753006,0.777778,0.209618,0.038271,0.674734,0.831279,0,0,0.333333,1,0.365972,0.278375,0.697564,0.723810,0.207601,0.037903,0.620044,0.775083,0,0,0.333333,1,0.329545,0.297608,0.293069,0.292065,0.022991,0.004197,0.284484,0.301653,0,0,0.254886,0.340107,0.023704,0.078448,0.304305,0.299370,0.028589,0.005220,0.293630,0.314981,0,0,0.244984,0.384683,0.025473,0.093949,0.294258,0.293040,0.027489,0.005019,0.283993,0.304522,0,0,0.209991,0.340009,0.034283,0.093417,11925.580288,11941.871077,78.310503,14.297476,11896.338665,11954.821910,11912.603881,11947.095982,11554.965875,12025.533236,35.963503,0.006567,11942.451499,11940.772346,24.091184,4.398428,11933.455703,11951.447295,0,0,11896.070988,12002.327359,24.577991,0.002017,11877.492101,11939.351915,355.776888,64.955676,11744.642827,12010.341374,11679.704283,11954.084208,10000,11995.498210,35.439039,0.029954,1.415787,1.402027,0.037914,0.006922,1.401630,1.429945,1.402314,1.428086,1.374281,1.504886,0.036004,0.026779,1.408634,1.398173,0.033506,0.006117,1.396123,1.421146,1.399299,1.425938,1.376398,1.522758,0.042535,0.023786,1.410462,1.397315,0.039186,0.007154,1.395830,1.425094,1.394059,1.420627,1.375276,1.530311,0.037085,0.027782
