run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Average Turnout,Final Treasury,Final Token Price,Final Member Count,Total Proposals,Quorum Reach Rate,Avg Margin of Victory,Avg Time to Decision,Proposal Abandonment Rate,Proposal Rejection Rate,Governance Overhead,Unique Voter Count,Voter Participation Rate,Voter Concentration Gini,Delegate Concentration,Avg Votes Per Proposal,Voter Retention Rate,Voting Power Utilization,Treasury Volatility,Treasury Growth Rate,Staking Participation,Token Concentration Gini,Avg Member Wealth,Wealth Mobility,Whale Influence,Whale Proposal Rate,Governance Capture Risk,Vote Buying Vulnerability,Single Entity Control,Collusion Threshold,Participation Trend,Treasury Trend,Member Growth Rate,Proposal Rate,Governance Activity Index,Final Gini,Final Reputation Gini
Sensitivity - Quorum Threshold-0_01-run-001,0.01,303,17910,0.8407960199004975,0.3600369026831489,12027.23225583807,2.0105971710789,210,205,0.9951219512195122,0.25682903343213104,1019.2786069651742,0,0.15920398009950248,68.49751243781094,174,0.31981416957026704,0.33314448963780746,0.22547356983503056,67.1609756097561,0.8505747126436781,0.36078097607786214,0.24324466138709427,-0.7202709682415563,0.09360631403496872,0.4198065840562002,102.43218336972018,0.5801934159437998,0.23896168352204866,0.1024390243902439,0.2373015211818214,232.05873773632254,0.028027488991888828,0.2523809523809524,-0.00032383015514482336,-13.332292322510904,0,10.25,0.036258488095825145,0.4206391861275014,0.9752653434096965
Sensitivity - Quorum Threshold-0_03-run-001,0.03,403,21706,0.8415841584158416,0.40226809981740164,11458.944276401156,1.0102658093404966,210,205,1,0.26980584682329545,968.3316831683169,0,0.15841584158415842,63.32673267326733,183,0.2971428571428571,0.33911224277077934,0.17759330243247048,62.4,0.8032786885245902,0.4037037884937039,0.2575908814218507,-0.72047829214991,0.12258418380404207,0.3161406331947108,78.21807696758808,0.6838593668052892,0.1843106899483175,0.03902439024390244,0.18707597494367278,228.690155925218,0.012258418380404205,0.34285714285714286,0.000344387016723125,-16.62896380857253,0,10.25,0.0407740826378641,0.31613826468110107,0.9716362145974629
Sensitivity - Quorum Threshold-0_05-run-001,0.05,503,19044,0.9247311827956989,0.33018015299642395,11550.130795447772,1.4779922274240804,210,190,0.9947368421052631,0.2941032709395704,1030.752688172043,0,0.07526881720430108,67.08064516129032,172,0.3127067669172932,0.3337451386742082,0.22555750508497674,65.66842105263157,0.8604651162790697,0.33078105278570247,0.20697870785357383,-0.7083786760700702,0.08764753893768683,0.45330325499266927,109.39610216106973,0.5466967450073308,0.24027780388006853,0.06842105263157895,0.23684765872476582,350.2996593044355,0.034386878827338804,0.21428571428571427,-0.0001573182785752019,-9.904944816477327,0,9.5,0.030762637909070356,0.45330218009176537,0.9746923047280738
Sensitivity - Quorum Threshold-0_08-run-001,0.08,603,16448,0.8494623655913979,0.38293407124082535,10946.857276985778,0.9221148041814661,210,188,0.9946808510638298,0.27755121875174005,1004.5483870967741,0,0.15053763440860216,60.97849462365591,173,0.2872847011144884,0.34304859309267705,0.19615313046103533,60.329787234042556,0.8439306358381503,0.38354775755279163,0.28206970109355556,-0.7245729894830305,0.11761102204088471,0.3227904431309663,81.52551484894315,0.6772095568690337,0.20314388887403173,0.03723404255319149,0.2012775621303804,220.98242899303716,0.016790560334976605,0.3333333333333333,0.00011164039186157683,-12.959531025864068,0,9.4,0.035669941452409606,0.3237004808425865,0.9755606791399565
Sensitivity - Quorum Threshold-0_1-run-001,0.1,703,19246,0.8388625592417062,0.343584846872616,12027.152332980368,1.615615448123513,210,213,1,0.2640028198545249,972.0568720379147,0,0.16113744075829384,67.51184834123222,168,0.3184663536776213,0.33420882849454275,0.22053873650136824,66.87793427230046,0.8809523809523809,0.3437733182606441,0.2187930690496288,-0.6924354012563725,0.08939865004725886,0.4426063092922988,107.25328759130991,0.5573936907077012,0.24393739231526376,0.10328638497652583,0.23251934336474428,233.35732723376987,0.03090951714334182,0.22857142857142856,-0.0002677841605573033,-8.493173506128313,0,10.65,0.036268085076497966,0.44260518387494696,0.9749868154476555
Sensitivity - Quorum Threshold-0_01-run-002,0.01,304,18353,0.8264840182648402,0.33194582973541586,12029.37624823637,40.43905866825401,210,222,1,0.2775599326040207,989.3150684931506,0,0.1735159817351598,63.51598173515982,173,0.2983697983697984,0.33861216664954985,0.2288878738548501,62.65765765765766,0.8554913294797688,0.33244849459142595,0.22085004123845217,-0.6896103059938385,0.09216547775706552,0.4271664987740129,104.0335205451531,0.5728335012259871,0.24583319911437973,0.07207207207207207,0.24074995929296872,297.17997679651984,0.028979749925216652,0.24285714285714285,0.000011778339896388426,-11.051511192190592,0,11.1,0.036403110157761126,0.42674109884247646,0.9750961194678731
Sensitivity - Quorum Threshold-0_03-run-002,0.03,404,22127,0.8163265306122449,0.38337924311239796,12029.197302537563,113.20763490405065,210,201,1,0.2624545830416112,1002.5,0,0.1836734693877551,65.5204081632653,169,0.3042407012556264,0.3321356264044319,0.22064510170262128,63.89054726368159,0.8757396449704142,0.3845591791789266,0.23209816832385288,-0.689458454188592,0.10474214586291872,0.35711490194642714,91.54193896640433,0.6428850980535729,0.24753682594477827,0.13930348258706468,0.22376929370588017,225.79222257318074,0.019957098987440778,0.3047619047619048,-0.00009477063388768888,-9.863287073859297,0,10.05,0.03768679955953484,0.3571133114387326,0.9758153058740049
Sensitivity - Quorum Threshold-0_05-run-002,0.05,504,19878,0.8755980861244019,0.32894269260799686,10688.153374011737,0.9453976771940712,210,212,1,0.2952367122452463,1034.5550239234449,0,0.12440191387559808,62.961722488038276,176,0.2955750224618149,0.33437082713623484,0.22931312591019185,62.070754716981135,0.8409090909090909,0.3293807319353248,0.2195950554982114,-0.7339620264533651,0.09223875152907318,0.4280026337119923,103.95087709715307,0.5719973662880077,0.24474542645464947,0.05660377358490566,0.23205832614135208,280.83991635995346,0.03181594326923639,0.24285714285714285,0.00009418366736857542,-10.518959205921092,0,10.6,0.03442028648724143,0.427580439934484,0.9744322820827356
Sensitivity - Quorum Threshold-0_08-run-002,0.08,604,18527,0.8862559241706162,0.36833118252412017,12034.177870547677,11.979121727383154,210,220,1,0.2876445726330453,1060.260663507109,0,0.11374407582938388,66.64454976303317,166,0.3043722943722945,0.33224292419286017,0.21384995499503495,63.91818181818182,0.891566265060241,0.370140740110111,0.272028549892249,-0.7203371019741605,0.1015007834346395,0.37793148822699996,94.46527208302606,0.622068511773,0.23884102396627327,0.1318181818181818,0.21788158587270945,243.6337852837333,0.025616566999239906,0.2904761904761905,0.00009109656305829198,-15.49176087269294,0,11,0.03904984808161672,0.37747805026931935,0.974166493320642
Sensitivity - Quorum Threshold-0_1-run-002,0.1,704,19778,0.8611111111111112,0.3180399748487957,11020.658198774874,0.9763975363320083,210,222,1,0.2914033991645051,1058.4212962962963,0,0.1388888888888889,66.85185185185185,170,0.3097383097383095,0.33168711251813743,0.2205260447780337,65.04504504504504,0.8705882352941177,0.31869240513070135,0.22471184897402657,-0.7358493959820183,0.08520706124817731,0.46807564678065516,112.52939584274925,0.5319243532193448,0.24485958745676228,0.08108108108108109,0.22056276221191795,274.67312723189434,0.0338383580917556,0.2,-0.0003468605281584805,-6.466434055304178,0,11.1,0.034418779754115746,0.46767320924654454,0.9756051351645032
