run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Final Treasury,Final Token Price,Final Gini,Total Proposals
Simple Example Experiment-run-001,,42,53,0,10929.21261222016,1.086923898317617,0.5184891153974431,4
Simple Example Experiment-run-002,,43,59,0.09090909090909091,12014.758685737284,1.8422085880040686,0.5603280995213842,11
Simple Example Experiment-run-003,,44,53,0,11855.063423104404,1.0879971514930986,0.4974422177970965,8
